emotion_clause,cause_candidate,pairs_len,correctness
生不如死是老吴患癌后常有的想法,老吴每天都在剧痛里挣扎,"15,11",true
生不如死是老吴患癌后常有的想法,从2012年10月到现在,"15,12",false
生不如死是老吴患癌后常有的想法,老吴已经和晚期肺癌搏斗了30个月,"15,16",false
生不如死是老吴患癌后常有的想法,这个时间长度,"15,6",false
生不如死是老吴患癌后常有的想法,比医生最初给他的死亡判决已经超出了近10倍,"15,21",false
深圳宁养院的医生王劲也感到惊诧,大面积骨转移,"15,6",false
深圳宁养院的医生王劲也感到惊诧,老吴每天都在剧痛里挣扎,"15,11",false
深圳宁养院的医生王劲也感到惊诧,从2012年10月到现在,"15,12",false
深圳宁养院的医生王劲也感到惊诧,老吴已经和晚期肺癌搏斗了30个月,"15,16",true
深圳宁养院的医生王劲也感到惊诧,这个时间长度,"15,6",false
深圳宁养院的医生王劲也感到惊诧,比医生最初给他的死亡判决已经超出了近10倍,"15,21",true
就会有网友担心老吴是不是去了,为了坚持到妻子入户,"14,9",false
就会有网友担心老吴是不是去了,老吴已经用尽了全力,"14,9",false
就会有网友担心老吴是不是去了,老吴其抗癌事迹广为人知,"14,11",false
就会有网友担心老吴是不是去了,如果老吴长时间不更新微博,"14,12",true
就会有网友担心老吴是不是去了,2013年底,"14,6",false
就会有网友担心老吴是不是去了,老吴两个多月没有更新微博,"14,12",false
就会有网友担心老吴是不是去了,有网友担心地问他近况如何,"14,12",false
就会有网友担心老吴是不是去了,看到网友的发问,"14,7",false
就会有网友担心老吴是不是去了,正在经历靶向药耐药性剧痛期的他,"14,15",false
就会有网友担心老吴是不是去了,还是努力地敲下了四个字活着,"14,13",false
就会有网友担心老吴是不是去了,活着,"14,2",false
总之是无奈和心酸,目前全家依靠她两千多元工资生活,"8,15",false
总之是无奈和心酸,看病已负债累累,"8,7",true
总之是无奈和心酸,如果我不在了,"8,6",false
总之是无奈和心酸,妻子没有深圳户籍日子会更难,"8,13",true
总之是无奈和心酸,但我也很感谢那些帮助我的网友义工宁养院,"8,19",false
总之是无奈和心酸,还有家人的不离不弃,"8,9",false
总之是无奈和心酸,我现在只能咬牙继续坚持,"8,11",false
总之是无奈和心酸,希望能够达成心愿,"8,8",false
但我也很感谢那些帮助我的网友义工宁养院,目前全家依靠她两千多元工资生活,"19,15",false
但我也很感谢那些帮助我的网友义工宁养院,看病已负债累累,"19,7",false
但我也很感谢那些帮助我的网友义工宁养院,如果我不在了,"19,6",false
但我也很感谢那些帮助我的网友义工宁养院,妻子没有深圳户籍,"19,8",false
但我也很感谢那些帮助我的网友义工宁养院,日子会更难,"19,5",false
但我也很感谢那些帮助我的网友义工宁养院,总之是无奈和心酸,"19,8",false
但我也很感谢那些帮助我的网友义工宁养院,还有家人的不离不弃,"19,9",true
但我也很感谢那些帮助我的网友义工宁养院,我现在只能咬牙继续坚持,"19,11",false
但我也很感谢那些帮助我的网友义工宁养院,希望能够达成心愿,"19,8",false
太没有人性,4月14日下午,"5,7",false
太没有人性,有微博网友爆料称,"5,8",false
太没有人性,通州台湖某制药厂内悬挂着数只死猫,"5,16",false
太没有人性,并配发图片,"5,5",false
太没有人性,众多网友指责如此虐猫,"5,10",true
太没有人性,还有网友怀疑这是厂方处置流浪猫手段,"5,17",false
妻子一时激动竟从阳台滑下,老公站在楼栋底下同站在6楼的妻子隔空拌嘴,"12,20",true
妻子一时激动竟从阳台滑下,但幸运地挂在4楼晒衣架上,"12,12",false
妻子一时激动竟从阳台滑下,老公立即大喊快抓紧,"12,9",false
妻子一时激动竟从阳台滑下,我爱你,"12,3",false
妻子一时激动竟从阳台滑下,自救成功,"12,4",false
妻子被温馨的话语感动,老公站在楼栋底下同站在6楼的妻子隔空拌嘴,"10,20",false
妻子被温馨的话语感动,但幸运地挂在4楼晒衣架上,"10,12",false
妻子被温馨的话语感动,老公立即大喊快抓紧,"10,9",false
妻子被温馨的话语感动,我爱你,"10,3",false
妻子被温馨的话语感动,自救成功,"10,4",false
小雯感到诧异,同月19日深夜11时,"6,10",false
小雯感到诧异,韩男去电给小雯约在一处利店前碰面,"6,16",false
小雯感到诧异,小雯误认对方是她的邱姓男友而赴约,"6,16",true
小雯感到诧异,2人见面之后,"6,6",false
小雯感到诧异,却也接受韩男提议,"6,8",false
小雯感到诧异,在公园内聊天散步,"6,8",false
小雯感到诧异,没多久韩男竟强拉小雯到厕所企图性侵,"6,17",false
小雯感到诧异,但小雯反抗而未果,"6,8",false
小雯感到诧异,韩男再强拉少女到运动场的司令台后方楼梯间性侵得逞,"6,24",false
张治英心疼不已,五年了,"7,3",false
张治英心疼不已,孩子一滴尿也没排过,"7,9",false
张治英心疼不已,每天身上发痒疼痛胸口憋闷换不过气来,"7,17",false
张治英心疼不已,经常大半夜睡不着觉,"7,9",false
张治英心疼不已,我就骑摩托车带她出去遛弯,"7,12",false
张治英心疼不已,看着曾经各方面优异的女儿如今成了这个样子,"7,20",true
张治英心疼不已,在校期间,"7,4",false
张治英心疼不已,张琼元每次考试都是前三名,"7,12",false
张治英心疼不已,多年来,"7,3",false
张治英心疼不已,一直担任班干部,"7,7",false
张治英还给女儿买不起大碗面自责不已,直到现在,"17,4",false
可张治英却怎么也高兴不起来,前段时间,"13,4",false
可张治英却怎么也高兴不起来,在北京大学人民医院治疗时的大夫打来电话询问了琼元的病情后,"13,28",false
可张治英却怎么也高兴不起来,说孩子还有希望,"13,7",false
可张治英却怎么也高兴不起来,建议做换肾手术,"13,7",false
可张治英却怎么也高兴不起来,希望近在眼前,"13,6",false
可张治英却怎么也高兴不起来,张琼元并不是他的亲生女儿,"13,12",true
可张治英却怎么也高兴不起来,在一次检查中,"13,6",false
可张治英却怎么也高兴不起来,张琼元得知自己是O型血,"13,11",false
可张治英却怎么也高兴不起来,而父亲是A型,"13,6",false
可张治英却怎么也高兴不起来,母亲是AB型时,"13,7",false
可张治英却怎么也高兴不起来,聪明的她瞬间明白了其中的意味,"13,14",false
张治英泣不成声,瞒不住了,"7,4",false
张治英泣不成声,张治英问她想不想看望亲生父母,"7,14",false
张治英泣不成声,张琼元哭着说我是你们的女儿,"7,13",false
张治英泣不成声,看着懂事的女儿每天被病痛折磨着,"7,15",false
张治英泣不成声,自己却不能为她捐肾,"7,9",false
张治英泣不成声,想到自己无能为力,"7,8",true
陈大爷终于笑了,民警将老人送到南钢厂区,"7,11",false
陈大爷终于笑了,问了半天,"7,4",false
陈大爷终于笑了,陈大爷也没有说清楚他家到底该怎么走,"7,17",false
陈大爷终于笑了,无奈之下,"7,4",false
陈大爷终于笑了,民警只能下车逐一询问附近的居民,"7,15",false
陈大爷终于笑了,最终把陈大爷安全送回家,"7,11",false
陈大爷终于笑了,到家后,"7,3",true
陈大爷终于笑了,连声对民警道谢,"7,7",false
陈大爷终于笑了,还热情挽留民警在家吃晚饭,"7,12",false
陈大爷终于笑了,但被民警婉言谢绝,"7,8",false
周围路过的多位居民都对她表示了赞扬,对于鲁女士遇见老人跌倒立刻出手相助,"17,17",true
周围路过的多位居民都对她表示了赞扬,还陪着老人一起等民警的行为,"17,13",false
周围路过的多位居民都对她表示了赞扬,出警的民警也告诉记者,"17,10",false
周围路过的多位居民都对她表示了赞扬,跌倒的老人真的需要有人帮助,"17,13",false
周围路过的多位居民都对她表示了赞扬,否则可能会发生二次事,"17,10",false
周围路过的多位居民都对她表示了赞扬,扶老人而被讹的事情是极少数的,"17,14",false
让人尊敬,在老一辈村民的记忆里,"4,10",false
让人尊敬,谢德友镇定自若为溺亡村民黄某入殓的场景,"4,19",true
让人尊敬,时隔多年仍历历在目,"4,9",false
再次丈夫撒手人寰而陷入无限绝望中,眼前厚厚几沓病历相册证件,"16,12",false
再次丈夫撒手人寰而陷入无限绝望中,白纸黑字如此刺眼绝望,"16,10",false
再次丈夫撒手人寰而陷入无限绝望中,才敢相信她安静克制的脸庞下,"16,13",false
再次丈夫撒手人寰而陷入无限绝望中,曾承受住多少次命运的陡然翻转,"16,14",false
再次丈夫撒手人寰而陷入无限绝望中,自从17岁儿子病逝去,"16,10",false
再次丈夫撒手人寰而陷入无限绝望中,丈夫与她领养了一个女儿,"16,11",false
再次丈夫撒手人寰而陷入无限绝望中,刚树立起的生活希望,"16,9",false
李芳痛不欲生,李芳抹着眼泪告诉小溪,"6,10",false
李芳痛不欲生,2002年,"6,5",false
李芳痛不欲生,她的儿子逝去了,"6,7",false
李芳痛不欲生,儿子才17岁,"6,6",false
李芳痛不欲生,活泼好动,"6,4",false
李芳痛不欲生,热爱篮球,"6,4",false
李芳痛不欲生,但是高二体检查出脑瘤,"6,10",true
李芳痛不欲生,很快就不行了,"6,6",true
李芳痛不欲生,捡起一把刀就想割脉自杀,"6,11",false
再三确认后真的非常非常感动,上上周,"13,3",false
再三确认后真的非常非常感动,安德烈突然找到我,"13,8",false
再三确认后真的非常非常感动,说想要在医院举行婚礼,"13,10",true
再三确认后真的非常非常感动,我先是吓了一跳,"13,7",false
再三确认后真的非常非常感动,医院的俄语翻译小董说,"13,10",false
再三确认后真的非常非常感动,很多人可能以为只是举行婚礼,"13,13",false
再三确认后真的非常非常感动,安慰安慰塔蒂亚娜,"13,8",false
再三确认后真的非常非常感动,但他们是真的结婚并领了证,"13,12",false
再三确认后真的非常非常感动,女方已经改了夫姓,"13,8",false
再三确认后真的非常非常感动,小董称,"13,3",false
再三确认后真的非常非常感动,消息一传出,"13,5",false
再三确认后真的非常非常感动,医护人员感动不已,"13,8",false
再三确认后真的非常非常感动,连医院后勤的工作人员都自发进行捐助,"13,17",false
看着沟胁千年着急的样子,1952年夏,"11,6",false
看着沟胁千年着急的样子,她和另7名日籍护士,"11,9",false
看着沟胁千年着急的样子,从广西南宁军区303医院调到羊楼洞部队疗养所,"11,22",false
看着沟胁千年着急的样子,羊楼洞地处湘鄂交界之要冲,"11,12",false
看着沟胁千年着急的样子,就在这里,"11,4",false
看着沟胁千年着急的样子,沟胁千年和当时患结核病正在此疗养的杜江群结识,"11,22",false
看着沟胁千年着急的样子,29岁的杜江群是一所学校的政治教员,"11,17",false
看着沟胁千年着急的样子,曾有过地下党经历,"11,8",false
看着沟胁千年着急的样子,虽然病重,"11,4",false
看着沟胁千年着急的样子,却依然乐观,"11,5",false
看着沟胁千年着急的样子,当时,"11,2",false
看着沟胁千年着急的样子,不少病员都排斥外籍护士的照料,"11,14",true
看着沟胁千年着急的样子,态度甚至粗暴,"11,6",true
看着沟胁千年着急的样子,杜江群站了出来,"11,7",false
看着沟胁千年着急的样子,说服伤员,"11,4",false
看着沟胁千年着急的样子,让他安心地接受治疗,"11,9",false
张崇贞以她的品格赢得了所有人的敬重,不仅是对尹家的3个孩子,"17,11",false
张崇贞以她的品格赢得了所有人的敬重,在街坊邻居中,"17,6",false
张崇贞以她的品格赢得了所有人的敬重,张崇贞也有着他人不能及的好名声,"17,15",false
张崇贞以她的品格赢得了所有人的敬重,任何人家需要帮忙,"17,8",false
张崇贞以她的品格赢得了所有人的敬重,她总是一口答应,"17,7",false
张崇贞以她的品格赢得了所有人的敬重,几十年里,"17,4",false
张崇贞以她的品格赢得了所有人的敬重,尹春丽的母亲也早已将这位比她年长三十来岁的保姆,"17,23",false
张崇贞以她的品格赢得了所有人的敬重,视为自己的亲生母亲,"17,9",false
张崇贞以她的品格赢得了所有人的敬重,我妈妈后来将所有的钱都放在奶奶那里,"17,17",false
张崇贞以她的品格赢得了所有人的敬重,她当家,"17,3",false
张崇贞以她的品格赢得了所有人的敬重,她才是我们家的最高权威,"17,11",false
不仅是悲伤也有欣慰,2010年,"9,5",false
不仅是悲伤也有欣慰,母亲去世,"9,4",false
不仅是悲伤也有欣慰,尹家的3个孩子将母亲和奶奶正式合葬,"9,17",false
不仅是悲伤也有欣慰,墓碑后,"9,3",false
不仅是悲伤也有欣慰,刻着这么一行字,"9,7",false
不仅是悲伤也有欣慰,先恩祖慈张崇贞,"9,7",false
不仅是悲伤也有欣慰,与先恩萍水相逢,"9,7",false
不仅是悲伤也有欣慰,半生相伴,"9,4",false
不仅是悲伤也有欣慰,同甘苦共患难,"9,6",false
不仅是悲伤也有欣慰,恩比天高,"9,4",false
不仅是悲伤也有欣慰,情同水长,"9,4",false
不仅是悲伤也有欣慰,合葬时的景象,"9,6",false
不仅是悲伤也有欣慰,尹春丽记忆犹新,"9,7",false
不仅是悲伤也有欣慰,两人骨灰葬下去的一瞬间,"9,11",false
不仅是悲伤也有欣慰,我似乎回到了过往,"9,8",false
不仅是悲伤也有欣慰,看到她们并肩扛起这个家的情景,"9,14",true
不仅是悲伤也有欣慰,我很想流泪,"9,5",false
朱洪生很是自豪,朱洪生今年55岁,"7,8",false
朱洪生很是自豪,1979年参加工作时才19岁,"7,14",false
朱洪生很是自豪,已有36年的手艺,"7,8",false
朱洪生很是自豪,我当时被分到丹阳南京理发店工作,"7,15",false
朱洪生很是自豪,这是当时丹阳最大的理发店,"7,12",false
朱洪生很是自豪,我在那儿获得了好多证书和荣誉,"7,14",false
朱洪生很是自豪,说起自己工作过的地方和自己的荣誉,"7,16",true
让朱洪生感动的是,有些客人他收费宜都为他着想,"8,13",true
让朱洪生感动的是,剪完头发就走了也不洗,"8,10",false
让朱洪生感动的是,就为能帮他省点水电费,"8,10",false
让朱洪生感动的是,回家反正洗澡,"8,6",false
让朱洪生感动的是,收费这么宜,"8,5",false
让朱洪生感动的是,就不麻烦他洗头了,"8,8",false
让朱洪生感动的是,昨天理完发后站起身来就付钱的史阿姨笑着说,"8,20",false
让朱洪生感动的是,我这里的客人都蛮好的,"8,10",false
让朱洪生感动的是,有的并不是价格低才来的,"8,11",false
让朱洪生感动的是,他们认可我了,"8,6",false
让朱洪生感动的是,朱洪生告诉记者,"8,7",false
让朱洪生感动的是,有的老邻居搬家去别的地方,"8,12",false
让朱洪生感动的是,但是理发还是找他,"8,8",false
让郭惠英感动的是,经抢救,"8,3",false
让郭惠英感动的是,两个孩子和周先生先后苏醒脱离了危险,"8,17",false
让郭惠英感动的是,但郭惠英一直抢救到第二天凌晨才苏醒,"8,17",false
让郭惠英感动的是,她醒来时,"8,4",false
让郭惠英感动的是,还有一位民警守在身边,"8,10",true
郭惠英17年来的这份举动让大家很感动,保护人民生命财产安全,"18,10",false
郭惠英17年来的这份举动让大家很感动,本身就是我们警察的责任,"18,11",false
郭惠英17年来的这份举动让大家很感动,是我们理所应当做的事情,"18,11",false
郭惠英17年来的这份举动让大家很感动,毛大队长说,"18,5",false
郭惠英17年来的这份举动让大家很感动,更感到自身责任重大,"18,9",false
郭惠英17年来的这份举动让大家很感动,使命光荣,"18,4",false
我很感动,不是自己的儿子老程还能这样,"4,13",true
我很感动,俺既然是老乡,"4,6",false
我很感动,就得帮他,"4,4",false
我很感动,朱俊钦说,"4,4",false
我很感动,他的加入让程相前轻松了不少,"4,13",false
我很感动,如今给宋文山洗澡,"4,8",false
我很感动,都是两人一起架着他洗,"4,10",false
刘名书看到母亲的照片很激动,老人说,"13,3",false
刘名书看到母亲的照片很激动,58年来自己也一直想寻找女儿刘名书,"13,17",false
刘名书看到母亲的照片很激动,但失散时她连女儿的名字都不知道,"13,15",false
刘名书看到母亲的照片很激动,更谈不上寻找,"13,6",false
刘名书看到母亲的照片很激动,目前,"13,2",false
刘名书看到母亲的照片很激动,雷红路和小姨通过微信,"13,10",false
刘名书看到母亲的照片很激动,交换了外婆和母亲的照片,"13,11",false
刘名书看到母亲的照片很激动,她说这事我跟丈夫说过,"13,10",false
刘名书看到母亲的照片很激动,跟大儿子说过,"13,6",false
刘名书看到母亲的照片很激动,结果小儿子帮我找到了母亲,"13,12",false
刘名书看到母亲的照片很激动,她也让儿子雷红路向陈警官表示感谢,"13,16",false
心里还是挺高兴的,谈到成名所带来的变化时,"8,11",false
心里还是挺高兴的,余秀华说收入的增多是的,"8,11",false
心里还是挺高兴的,之前对出名没有期待,"8,9",false
心里还是挺高兴的,但它真的来了,"8,6",false
心里还是挺高兴的,而且让生活过得更好,"8,9",true
心里还是挺高兴的,但这在村里没有太大影响,"8,11",false
心里还是挺高兴的,老乡还是把我看成余秀华,"8,11",false
心里还是挺高兴的,没有把我看成是怪物,"8,9",false
感动了无数人,为国教子,"6,4",false
感动了无数人,以德育人,"6,4",false
感动了无数人,盲人夫妇演绎现实版孟母三迁,"6,13",true
感动了无数人,为孩子成长创造环境的事,"6,11",false
感动了无数人,在蛟河市传开后,"6,7",false
感动了无数人,庄保清也获得了吉林省十佳好家长全国传承好家风好妈好爸等荣誉称号,"6,31",false
感觉天都要塌了,34岁的王志刚在去年四月被检查出患有慢性肾衰竭,"7,23",false
感觉天都要塌了,这一检测结果打破了原本幸福的三口之家,"7,18",false
感觉天都要塌了,徐萍这样来形容得知丈夫患病时的感受,"7,17",false
感觉天都要塌了,丈夫是她和两岁孩子的支柱,"7,12",true
他十分感动,她身体就不好,"5,6",false
他十分感动,娃娃也要人照顾,"5,7",false
他十分感动,张志刚得知妻子要捐肾给自己时,"5,14",true
他十分感动,好在17日夫妻俩在四川大学华西医院的手术非常顺利,"5,24",false
同时也非常担心,她身体就不好,"7,6",false
同时也非常担心,娃娃也要人照顾,"7,7",false
同时也非常担心,张志刚得知妻子要捐肾给自己时,"7,14",true
同时也非常担心,好在17日夫妻俩在四川大学华西医院的手术非常顺利,"7,24",false
当时我娘我嫂子都哭昏过去了,翟金华介绍,"13,5",false
当时我娘我嫂子都哭昏过去了,哥哥当兵走的时候还是解放前,"13,13",false
当时我娘我嫂子都哭昏过去了,那时自己才15岁,"13,8",false
当时我娘我嫂子都哭昏过去了,不懂事,"13,3",false
当时我娘我嫂子都哭昏过去了,再加上时间过去很久了,"13,10",false
当时我娘我嫂子都哭昏过去了,很多事情自己都记不得了,"13,11",false
当时我娘我嫂子都哭昏过去了,我只记得他走后不久我奶奶还骑着小毛驴,"13,18",false
当时我娘我嫂子都哭昏过去了,带着我去他参军后暂时驻扎的村庄看他,"13,17",false
当时我娘我嫂子都哭昏过去了,后来就再也没有音讯了,"13,10",false
当时我娘我嫂子都哭昏过去了,直到1952年,"13,7",false
当时我娘我嫂子都哭昏过去了,民政部门送到家里一个烈士证,"13,13",false
当时我娘我嫂子都哭昏过去了,说我哥死在朝鲜了,"13,8",true
真的是皆大欢喜,中国人自古有落叶归根的传统,"7,13",false
真的是皆大欢喜,63年来,"7,4",false
真的是皆大欢喜,我日夜都想有朝一日能找到父亲的安葬地,"7,18",false
真的是皆大欢喜,如果能和父亲团聚,"7,8",true
真的是皆大欢喜,同时,"7,2",false
真的是皆大欢喜,记者与周玉玺烈士的孙女周女士取得了联系,"7,19",false
真的是皆大欢喜,周女士说,"7,4",false
真的是皆大欢喜,自己的父亲今年已经65岁高龄了,"7,15",false
真的是皆大欢喜,一直心心念念牵挂着爷爷的去向,"7,14",false
真的是皆大欢喜,总是让自己去打听,"7,8",false
真的是皆大欢喜,见到本报刊发的为烈士找寻亲人的报道,"7,17",false
自己和父亲都激动不已,中国人自古有落叶归根的传统,"10,13",false
自己和父亲都激动不已,63年来,"10,4",false
自己和父亲都激动不已,我日夜都想有朝一日能找到父亲的安葬地,"10,18",false
自己和父亲都激动不已,如果能和父亲团聚,"10,8",false
自己和父亲都激动不已,同时,"10,2",false
自己和父亲都激动不已,记者与周玉玺烈士的孙女周女士取得了联系,"10,19",false
自己和父亲都激动不已,周女士说,"10,4",false
自己和父亲都激动不已,自己的父亲今年已经65岁高龄了,"10,15",false
自己和父亲都激动不已,一直心心念念牵挂着爷爷的去向,"10,14",false
自己和父亲都激动不已,总是让自己去打听,"10,8",false
自己和父亲都激动不已,见到本报刊发的为烈士找寻亲人的报道,"10,17",true
真是太幸运了,记者16日从第三军医大学新桥医院获悉,"6,18",false
真是太幸运了,尿毒症患者程霞冒死产下一名5斤重健康男婴,"6,20",false
真是太幸运了,我这条命都是妈妈给的,"6,10",false
真是太幸运了,现在我也有了宝宝,"6,8",true
真是太幸运了,还躺在病床上的程霞,"6,9",false
真是太幸运了,以微弱的声音说到,"6,8",false
还要感谢所有帮助过我的人,记者16日从第三军医大学新桥医院获悉,"12,18",false
还要感谢所有帮助过我的人,尿毒症患者程霞冒死产下一名5斤重健康男婴,"12,20",false
还要感谢所有帮助过我的人,我这条命都是妈妈给的,"12,10",false
还要感谢所有帮助过我的人,现在我也有了宝宝,"12,8",false
还要感谢所有帮助过我的人,还躺在病床上的程霞,"12,9",false
还要感谢所有帮助过我的人,以微弱的声音说到,"12,8",false
她气到想勒死他,据台湾中央社16日报道,"7,11",false
她气到想勒死他,日本男性2月14日情人节通常会收到巧克力和其他礼物,"7,25",false
她气到想勒死他,而他们3月14日白色情人节当天必须回送礼物给另一半,"7,25",false
她气到想勒死他,西山美惠31岁的丈夫一脚将她踢开后,"7,17",false
她气到想勒死他,她疑似企图用领带掐死他,"7,11",false
她气到想勒死他,老公午夜时分打电话报警,"7,11",false
她气到想勒死他,西山美惠随后在日本西部堺市家中被捕,"7,17",false
她气到想勒死他,并向警方表示,"7,6",false
她气到想勒死他,她怀疑老公有外遇,"7,8",false
她气到想勒死他,西山告诉警方,"7,6",false
她气到想勒死他,老公情人节没有回送礼物,"7,11",true
我和她妈着急啊,闺女是高中教师,"7,7",false
我和她妈着急啊,现在带着高三毕业班,"7,9",false
我和她妈着急啊,工作忙也顾不上自己的事,"7,11",true
我和她妈着急啊,就趁有活动来替她看看,"7,10",false
我和她妈着急啊,在相亲活动现场,"7,7",false
我和她妈着急啊,老年人的数量基本上和年轻人相当,"7,15",false
我和她妈着急啊,他们都是来替孩子打头阵的,"7,12",false
父母着急主动请缨,记者调查发现,"8,6",false
父母着急主动请缨,本该是年轻人自己做主的相亲大会,"8,15",false
父母着急主动请缨,反而是爹妈唱了主角,"8,9",false
父母着急主动请缨,要么是儿女排斥相亲,"8,9",true
父母着急主动请缨,不愿来现场,"8,5",true
父母着急主动请缨,要么就是父母不放心,"8,9",false
父母着急主动请缨,替孩子来把关货比三家,"8,10",false
年轻时的情感创伤让黄女士心有余悸,经过一段时间的交往,"16,9",false
年轻时的情感创伤让黄女士心有余悸,他们都感觉非常有缘,"16,9",false
年轻时的情感创伤让黄女士心有余悸,经过几个月的地下恋情,"16,10",false
年轻时的情感创伤让黄女士心有余悸,徐某信誓旦旦地表示愿意娶黄女士为妻,"16,17",false
年轻时的情感创伤让黄女士心有余悸,她并没有接受徐某的求婚,"16,11",false
年轻时的情感创伤让黄女士心有余悸,之后两人继续以姐弟相称,"16,11",false
黄女士无奈之下向法院提起诉讼,事业有成的黄女士与小20岁的小伙结婚,"14,18",false
黄女士无奈之下向法院提起诉讼,为避免人财两空,"14,7",false
黄女士无奈之下向法院提起诉讼,两人在婚前进行了财产公证,"14,12",false
黄女士无奈之下向法院提起诉讼,怎知婚后小伙两次拿走黄女士钱财,"14,15",true
黄女士无奈之下向公安机关报了案,2014年11月,"15,8",false
