emotion_clause,cause_candidate,conn,pairs_len,correctness,is_cause_conn
但我也很感谢那些帮助我的网友义工宁养院,如果我不在了,但,"19,7",False,false
但我也很感谢那些帮助我的网友义工宁养院,妻子没有深圳户籍,但,"19,9",False,false
但我也很感谢那些帮助我的网友义工宁养院,日子会更难,但,"19,6",False,false
但我也很感谢那些帮助我的网友义工宁养院,总之是无奈和心酸,但,"19,9",False,false
但我也很感谢那些帮助我的网友义工宁养院,还有家人的不离不弃,但,"19,10",True,false
但我也很感谢那些帮助我的网友义工宁养院,我现在只能咬牙继续坚持,但,"19,12",False,false
但我也很感谢那些帮助我的网友义工宁养院,希望能够达成心愿,更,"19,9",False,false
太没有人性,4月14日下午,但,"5,8",False,false
太没有人性,有微博网友爆料称,更,"5,9",False,false
太没有人性,通州台湖某制药厂内悬挂着数只死猫,而,"5,17",False,false
太没有人性,并配发图片,但,"5,6",False,false
太没有人性,众多网友指责如此虐猫,而,"5,11",True,false
太没有人性,还有网友怀疑这是厂方处置流浪猫手段,但,"5,18",False,false
妻子一时激动竟从阳台滑下,老公站在楼栋底下同站在6楼的妻子隔空拌嘴,与,"12,21",True,false
妻子一时激动竟从阳台滑下,但幸运地挂在4楼晒衣架上,但,"12,13",False,false
妻子一时激动竟从阳台滑下,老公立即大喊快抓紧,而,"12,10",False,false
妻子一时激动竟从阳台滑下,我爱你,但,"12,4",False,false
妻子一时激动竟从阳台滑下,自救成功,但,"12,5",False,false
妻子被温馨的话语感动,老公站在楼栋底下同站在6楼的妻子隔空拌嘴,与,"10,21",False,false
妻子被温馨的话语感动,但幸运地挂在4楼晒衣架上,但,"10,13",False,false
妻子被温馨的话语感动,老公立即大喊快抓紧,而,"10,10",False,false
妻子被温馨的话语感动,我爱你,但,"10,4",False,false
妻子被温馨的话语感动,自救成功,而,"10,5",False,false
小雯感到诧异,同月19日深夜11时,而,"6,11",False,false
小雯感到诧异,韩男去电给小雯约在一处利店前碰面,而,"6,17",False,false
小雯感到诧异,小雯误认对方是她的邱姓男友而赴约,因,"6,17",True,true
小雯感到诧异,2人见面之后,当,"6,7",False,false
小雯感到诧异,却也接受韩男提议,但,"6,9",False,false
小雯感到诧异,在公园内聊天散步,就,"6,9",False,false
小雯感到诧异,没多久韩男竟强拉小雯到厕所企图性侵,但,"6,18",False,false
小雯感到诧异,但小雯反抗而未果,但,"6,9",False,false
小雯感到诧异,韩男再强拉少女到运动场的司令台后方楼梯间性侵得逞,而,"6,25",False,false
张治英心疼不已,五年了,就,"7,4",False,false
张治英心疼不已,孩子一滴尿也没排过,但,"7,10",False,false
张治英心疼不已,每天身上发痒疼痛胸口憋闷换不过气来,却,"7,18",False,false
张治英心疼不已,经常大半夜睡不着觉,却,"7,10",False,false
张治英心疼不已,我就骑摩托车带她出去遛弯,而,"7,13",False,false
张治英心疼不已,看着曾经各方面优异的女儿如今成了这个样子,就,"7,21",True,false
张治英心疼不已,在校期间,但,"7,5",False,false
张治英心疼不已,张琼元每次考试都是前三名,但,"7,13",False,false
张治英心疼不已,多年来,但,"7,4",False,false
张治英心疼不已,一直担任班干部,但,"7,8",False,false
张治英还给女儿买不起大碗面自责不已,直到现在,但,"17,5",False,false
可张治英却怎么也高兴不起来,前段时间,而,"13,5",False,false
可张治英却怎么也高兴不起来,在北京大学人民医院治疗时的大夫打来电话询问了琼元的病情后,而,"13,29",False,false
可张治英却怎么也高兴不起来,说孩子还有希望,虽,"13,8",False,false
可张治英却怎么也高兴不起来,建议做换肾手术,或,"13,8",False,false
可张治英却怎么也高兴不起来,希望近在眼前,但,"13,7",False,false
可张治英却怎么也高兴不起来,张琼元并不是他的亲生女儿,而,"13,13",True,false
可张治英却怎么也高兴不起来,在一次检查中,但,"13,7",False,false
可张治英却怎么也高兴不起来,张琼元得知自己是O型血,当,"13,12",False,false
可张治英却怎么也高兴不起来,而父亲是A型,因,"13,7",False,true
可张治英却怎么也高兴不起来,母亲是AB型时,当,"13,8",False,false
可张治英却怎么也高兴不起来,聪明的她瞬间明白了其中的意味,但,"13,15",False,false
张治英泣不成声,瞒不住了,就,"7,5",False,false
张治英泣不成声,张治英问她想不想看望亲生父母,当,"7,15",False,false
张治英泣不成声,张琼元哭着说我是你们的女儿,但,"7,14",False,false
张治英泣不成声,看着懂事的女儿每天被病痛折磨着,但,"7,16",False,false
张治英泣不成声,自己却不能为她捐肾,但,"7,10",False,false
张治英泣不成声,想到自己无能为力,却,"7,9",True,false
陈大爷终于笑了,民警将老人送到南钢厂区,当,"7,12",False,false
陈大爷终于笑了,问了半天,就,"7,5",False,false
陈大爷终于笑了,陈大爷也没有说清楚他家到底该怎么走,但,"7,18",False,false
陈大爷终于笑了,无奈之下,但,"7,5",False,false
陈大爷终于笑了,民警只能下车逐一询问附近的居民,而,"7,16",False,false
陈大爷终于笑了,最终把陈大爷安全送回家,但,"7,12",False,false
陈大爷终于笑了,到家后,就,"7,4",True,false
陈大爷终于笑了,连声对民警道谢,便,"7,8",False,true
陈大爷终于笑了,还热情挽留民警在家吃晚饭,但,"7,13",False,false
陈大爷终于笑了,但被民警婉言谢绝,但,"7,9",False,false
周围路过的多位居民都对她表示了赞扬,对于鲁女士遇见老人跌倒立刻出手相助,而,"17,18",True,false
周围路过的多位居民都对她表示了赞扬,还陪着老人一起等民警的行为,但,"17,14",False,false
周围路过的多位居民都对她表示了赞扬,出警的民警也告诉记者,而,"17,11",False,false
周围路过的多位居民都对她表示了赞扬,跌倒的老人真的需要有人帮助,而,"17,14",False,false
周围路过的多位居民都对她表示了赞扬,否则可能会发生二次事,但,"17,11",False,false
周围路过的多位居民都对她表示了赞扬,扶老人而被讹的事情是极少数的,因,"17,15",False,true
让人尊敬,在老一辈村民的记忆里,就,"4,11",False,false
让人尊敬,谢德友镇定自若为溺亡村民黄某入殓的场景,而,"4,20",True,false
让人尊敬,时隔多年仍历历在目,但,"4,10",False,false
再次丈夫撒手人寰而陷入无限绝望中,眼前厚厚几沓病历相册证件,但,"16,13",False,false
再次丈夫撒手人寰而陷入无限绝望中,白纸黑字如此刺眼绝望,但,"16,11",False,false
再次丈夫撒手人寰而陷入无限绝望中,才敢相信她安静克制的脸庞下,但,"16,14",False,false
再次丈夫撒手人寰而陷入无限绝望中,曾承受住多少次命运的陡然翻转,却,"16,15",False,false
再次丈夫撒手人寰而陷入无限绝望中,自从17岁儿子病逝去,但,"16,11",False,false
再次丈夫撒手人寰而陷入无限绝望中,丈夫与她领养了一个女儿,但,"16,12",False,false
再次丈夫撒手人寰而陷入无限绝望中,刚树立起的生活希望,与,"16,10",False,false
李芳痛不欲生,李芳抹着眼泪告诉小溪,但,"6,11",False,false
李芳痛不欲生,2002年,由,"6,6",False,true
李芳痛不欲生,她的儿子逝去了,但,"6,8",False,false
李芳痛不欲生,儿子才17岁,而,"6,7",False,false
李芳痛不欲生,活泼好动,但,"6,5",False,false
李芳痛不欲生,热爱篮球,但,"6,5",False,false
李芳痛不欲生,但是高二体检查出脑瘤,但,"6,11",True,false
李芳痛不欲生,很快就不行了,但,"6,7",True,false
李芳痛不欲生,捡起一把刀就想割脉自杀,当,"6,12",False,false
再三确认后真的非常非常感动,上上周,就,"13,4",False,false
再三确认后真的非常非常感动,安德烈突然找到我,当,"13,9",False,false
再三确认后真的非常非常感动,说想要在医院举行婚礼,虽,"13,11",True,false
再三确认后真的非常非常感动,我先是吓了一跳,但,"13,8",False,false
再三确认后真的非常非常感动,医院的俄语翻译小董说,总,"13,11",False,false
再三确认后真的非常非常感动,很多人可能以为只是举行婚礼,但,"13,14",False,false
再三确认后真的非常非常感动,安慰安慰塔蒂亚娜,就,"13,9",False,false
再三确认后真的非常非常感动,但他们是真的结婚并领了证,但,"13,13",False,false
再三确认后真的非常非常感动,女方已经改了夫姓,而,"13,9",False,false
再三确认后真的非常非常感动,小董称,但,"13,4",False,false
再三确认后真的非常非常感动,消息一传出,但,"13,6",False,false
再三确认后真的非常非常感动,医护人员感动不已,而,"13,9",False,false
再三确认后真的非常非常感动,连医院后勤的工作人员都自发进行捐助,就,"13,18",False,false
看着沟胁千年着急的样子,1952年夏,由,"11,7",False,true
看着沟胁千年着急的样子,她和另7名日籍护士,而,"11,10",False,false
看着沟胁千年着急的样子,从广西南宁军区303医院调到羊楼洞部队疗养所,因,"11,23",False,true
看着沟胁千年着急的样子,羊楼洞地处湘鄂交界之要冲,而,"11,13",False,false
看着沟胁千年着急的样子,就在这里,而,"11,5",False,false
看着沟胁千年着急的样子,沟胁千年和当时患结核病正在此疗养的杜江群结识,而,"11,23",False,false
看着沟胁千年着急的样子,29岁的杜江群是一所学校的政治教员,而,"11,18",False,false
看着沟胁千年着急的样子,曾有过地下党经历,但,"11,9",False,false
看着沟胁千年着急的样子,虽然病重,但,"11,5",False,false
看着沟胁千年着急的样子,却依然乐观,但,"11,6",False,false
看着沟胁千年着急的样子,当时,而,"11,3",False,false
看着沟胁千年着急的样子,不少病员都排斥外籍护士的照料,但,"11,15",True,false
看着沟胁千年着急的样子,态度甚至粗暴,但,"11,7",True,false
看着沟胁千年着急的样子,杜江群站了出来,而,"11,8",False,false
看着沟胁千年着急的样子,说服伤员,就,"11,5",False,false
看着沟胁千年着急的样子,让他安心地接受治疗,就,"11,10",False,false
张崇贞以她的品格赢得了所有人的敬重,不仅是对尹家的3个孩子,而,"17,12",False,false
张崇贞以她的品格赢得了所有人的敬重,在街坊邻居中,而,"17,7",False,false
张崇贞以她的品格赢得了所有人的敬重,张崇贞也有着他人不能及的好名声,而,"17,16",False,false
张崇贞以她的品格赢得了所有人的敬重,任何人家需要帮忙,当,"17,9",False,false
张崇贞以她的品格赢得了所有人的敬重,她总是一口答应,但,"17,8",False,false
张崇贞以她的品格赢得了所有人的敬重,几十年里,但,"17,5",False,false
张崇贞以她的品格赢得了所有人的敬重,尹春丽的母亲也早已将这位比她年长三十来岁的保姆,而,"17,24",False,false
张崇贞以她的品格赢得了所有人的敬重,视为自己的亲生母亲,而,"17,10",False,false
张崇贞以她的品格赢得了所有人的敬重,我妈妈后来将所有的钱都放在奶奶那里,而,"17,18",False,false
张崇贞以她的品格赢得了所有人的敬重,她当家,由,"17,4",False,true
张崇贞以她的品格赢得了所有人的敬重,她才是我们家的最高权威,而,"17,12",False,false
不仅是悲伤也有欣慰,2010年,由,"9,6",False,true
不仅是悲伤也有欣慰,母亲去世,因,"9,5",False,true
不仅是悲伤也有欣慰,尹家的3个孩子将母亲和奶奶正式合葬,而,"9,18",False,false
不仅是悲伤也有欣慰,墓碑后,故,"9,4",False,true
不仅是悲伤也有欣慰,刻着这么一行字,就,"9,8",False,false
不仅是悲伤也有欣慰,先恩祖慈张崇贞,由,"9,8",False,true
不仅是悲伤也有欣慰,与先恩萍水相逢,但,"9,8",False,false
不仅是悲伤也有欣慰,半生相伴,或,"9,5",False,false
不仅是悲伤也有欣慰,同甘苦共患难,如,"9,7",False,false
不仅是悲伤也有欣慰,恩比天高,但,"9,5",False,false
不仅是悲伤也有欣慰,情同水长,但,"9,5",False,false
不仅是悲伤也有欣慰,合葬时的景象,如,"9,7",False,false
不仅是悲伤也有欣慰,尹春丽记忆犹新,与,"9,8",False,false
不仅是悲伤也有欣慰,两人骨灰葬下去的一瞬间,当,"9,12",False,false
不仅是悲伤也有欣慰,我似乎回到了过往,而,"9,9",False,false
不仅是悲伤也有欣慰,看到她们并肩扛起这个家的情景,当,"9,15",True,false
不仅是悲伤也有欣慰,我很想流泪,但,"9,6",False,false
朱洪生很是自豪,朱洪生今年55岁,但,"7,9",False,false
朱洪生很是自豪,1979年参加工作时才19岁,但,"7,15",False,false
朱洪生很是自豪,已有36年的手艺,但,"7,9",False,false
朱洪生很是自豪,我当时被分到丹阳南京理发店工作,而,"7,16",False,false
朱洪生很是自豪,这是当时丹阳最大的理发店,而,"7,13",False,false
朱洪生很是自豪,我在那儿获得了好多证书和荣誉,而,"7,15",False,false
朱洪生很是自豪,说起自己工作过的地方和自己的荣誉,就,"7,17",True,false
让朱洪生感动的是,有些客人他收费宜都为他着想,而,"8,14",True,false
让朱洪生感动的是,剪完头发就走了也不洗,但,"8,11",False,false
让朱洪生感动的是,就为能帮他省点水电费,但,"8,11",False,false
让朱洪生感动的是,回家反正洗澡,就,"8,7",False,false
让朱洪生感动的是,收费这么宜,但,"8,6",False,false
让朱洪生感动的是,就不麻烦他洗头了,但,"8,9",False,false
让朱洪生感动的是,昨天理完发后站起身来就付钱的史阿姨笑着说,而,"8,21",False,false
让朱洪生感动的是,我这里的客人都蛮好的,而,"8,11",False,false
让朱洪生感动的是,有的并不是价格低才来的,但,"8,12",False,false
让朱洪生感动的是,他们认可我了,但,"8,7",False,false
让朱洪生感动的是,朱洪生告诉记者,而,"8,8",False,false
让朱洪生感动的是,有的老邻居搬家去别的地方,更,"8,13",False,false
让朱洪生感动的是,但是理发还是找他,但,"8,9",False,false
让郭惠英感动的是,经抢救,但,"8,4",False,false
让郭惠英感动的是,两个孩子和周先生先后苏醒脱离了危险,但,"8,18",False,false
让郭惠英感动的是,但郭惠英一直抢救到第二天凌晨才苏醒,但,"8,18",False,false
让郭惠英感动的是,她醒来时,当,"8,5",False,false
让郭惠英感动的是,还有一位民警守在身边,但,"8,11",True,false
郭惠英17年来的这份举动让大家很感动,保护人民生命财产安全,因,"18,11",False,true
郭惠英17年来的这份举动让大家很感动,本身就是我们警察的责任,但,"18,12",False,false
郭惠英17年来的这份举动让大家很感动,是我们理所应当做的事情,但,"18,12",False,false
郭惠英17年来的这份举动让大家很感动,毛大队长说,由,"18,6",False,true
郭惠英17年来的这份举动让大家很感动,更感到自身责任重大,但,"18,10",False,false
郭惠英17年来的这份举动让大家很感动,使命光荣,但,"18,5",False,false
我很感动,不是自己的儿子老程还能这样,而,"4,14",True,false
我很感动,俺既然是老乡,但,"4,7",False,false
我很感动,就得帮他,但,"4,5",False,false
我很感动,朱俊钦说,但,"4,5",False,false
我很感动,他的加入让程相前轻松了不少,而,"4,14",False,false
我很感动,如今给宋文山洗澡,但,"4,9",False,false
我很感动,都是两人一起架着他洗,但,"4,11",False,false
刘名书看到母亲的照片很激动,老人说,当,"13,4",False,false
刘名书看到母亲的照片很激动,58年来自己也一直想寻找女儿刘名书,但,"13,18",False,false
刘名书看到母亲的照片很激动,但失散时她连女儿的名字都不知道,但,"13,16",False,false
刘名书看到母亲的照片很激动,更谈不上寻找,但,"13,7",False,false
刘名书看到母亲的照片很激动,目前,而,"13,3",False,false
刘名书看到母亲的照片很激动,雷红路和小姨通过微信,与,"13,11",False,false
刘名书看到母亲的照片很激动,交换了外婆和母亲的照片,就,"13,12",False,false
刘名书看到母亲的照片很激动,她说这事我跟丈夫说过,但,"13,11",False,false
刘名书看到母亲的照片很激动,跟大儿子说过,就,"13,7",False,false
刘名书看到母亲的照片很激动,结果小儿子帮我找到了母亲,但,"13,13",False,false
刘名书看到母亲的照片很激动,她也让儿子雷红路向陈警官表示感谢,而,"13,17",False,false
心里还是挺高兴的,谈到成名所带来的变化时,当,"8,12",False,false
心里还是挺高兴的,余秀华说收入的增多是的,但,"8,12",False,false
心里还是挺高兴的,之前对出名没有期待,但,"8,10",False,false
心里还是挺高兴的,但它真的来了,但,"8,7",False,false
心里还是挺高兴的,而且让生活过得更好,而,"8,10",True,false
心里还是挺高兴的,但这在村里没有太大影响,但,"8,12",False,false
心里还是挺高兴的,老乡还是把我看成余秀华,但,"8,12",False,false
心里还是挺高兴的,没有把我看成是怪物,却,"8,10",False,false
感动了无数人,为国教子,因,"6,5",False,true
感动了无数人,以德育人,故,"6,5",False,true
感动了无数人,盲人夫妇演绎现实版孟母三迁,当,"6,14",True,false
感动了无数人,为孩子成长创造环境的事,而,"6,12",False,false
感动了无数人,在蛟河市传开后,但,"6,8",False,false
感动了无数人,庄保清也获得了吉林省十佳好家长全国传承好家风好妈好爸等荣誉称号,而,"6,32",False,false
感觉天都要塌了,34岁的王志刚在去年四月被检查出患有慢性肾衰竭,而,"7,24",False,false
感觉天都要塌了,这一检测结果打破了原本幸福的三口之家,但,"7,19",False,false
感觉天都要塌了,徐萍这样来形容得知丈夫患病时的感受,而,"7,18",False,false
感觉天都要塌了,丈夫是她和两岁孩子的支柱,而,"7,13",True,false
他十分感动,她身体就不好,但,"5,7",False,false
他十分感动,娃娃也要人照顾,但,"5,8",False,false
他十分感动,张志刚得知妻子要捐肾给自己时,当,"5,15",True,false
他十分感动,好在17日夫妻俩在四川大学华西医院的手术非常顺利,而,"5,25",False,false
同时也非常担心,她身体就不好,而,"7,7",False,false
同时也非常担心,娃娃也要人照顾,但,"7,8",False,false
同时也非常担心,张志刚得知妻子要捐肾给自己时,当,"7,15",True,false
同时也非常担心,好在17日夫妻俩在四川大学华西医院的手术非常顺利,但,"7,25",False,false
当时我娘我嫂子都哭昏过去了,翟金华介绍,由,"13,6",False,true
当时我娘我嫂子都哭昏过去了,哥哥当兵走的时候还是解放前,但,"13,14",False,false
当时我娘我嫂子都哭昏过去了,那时自己才15岁,而,"13,9",False,false
当时我娘我嫂子都哭昏过去了,不懂事,更,"13,4",False,false
当时我娘我嫂子都哭昏过去了,再加上时间过去很久了,但,"13,11",False,false
当时我娘我嫂子都哭昏过去了,很多事情自己都记不得了,但,"13,12",False,false
当时我娘我嫂子都哭昏过去了,我只记得他走后不久我奶奶还骑着小毛驴,但,"13,19",False,false
当时我娘我嫂子都哭昏过去了,带着我去他参军后暂时驻扎的村庄看他,就,"13,18",False,false
当时我娘我嫂子都哭昏过去了,后来就再也没有音讯了,但,"13,11",False,false
当时我娘我嫂子都哭昏过去了,直到1952年,但,"13,8",False,false
当时我娘我嫂子都哭昏过去了,民政部门送到家里一个烈士证,由,"13,14",False,true
当时我娘我嫂子都哭昏过去了,说我哥死在朝鲜了,就,"13,9",True,false
真的是皆大欢喜,中国人自古有落叶归根的传统,而,"7,14",False,false
真的是皆大欢喜,63年来,但,"7,5",False,false
真的是皆大欢喜,我日夜都想有朝一日能找到父亲的安葬地,而,"7,19",False,false
真的是皆大欢喜,如果能和父亲团聚,但,"7,9",True,false
真的是皆大欢喜,同时,但,"7,3",False,false
真的是皆大欢喜,记者与周玉玺烈士的孙女周女士取得了联系,当,"7,20",False,false
真的是皆大欢喜,周女士说,但,"7,5",False,false
真的是皆大欢喜,自己的父亲今年已经65岁高龄了,而,"7,16",False,false
真的是皆大欢喜,一直心心念念牵挂着爷爷的去向,却,"7,15",False,false
真的是皆大欢喜,总是让自己去打听,但,"7,9",False,false
真的是皆大欢喜,见到本报刊发的为烈士找寻亲人的报道,就,"7,18",False,false
自己和父亲都激动不已,中国人自古有落叶归根的传统,而,"10,14",False,false
自己和父亲都激动不已,63年来,但,"10,5",False,false
自己和父亲都激动不已,我日夜都想有朝一日能找到父亲的安葬地,而,"10,19",False,false
自己和父亲都激动不已,如果能和父亲团聚,但,"10,9",False,false
自己和父亲都激动不已,同时,但,"10,3",False,false
自己和父亲都激动不已,记者与周玉玺烈士的孙女周女士取得了联系,但,"10,20",False,false
自己和父亲都激动不已,周女士说,但,"10,5",False,false
自己和父亲都激动不已,自己的父亲今年已经65岁高龄了,而,"10,16",False,false
自己和父亲都激动不已,一直心心念念牵挂着爷爷的去向,却,"10,15",False,false
自己和父亲都激动不已,总是让自己去打听,但,"10,9",False,false
自己和父亲都激动不已,见到本报刊发的为烈士找寻亲人的报道,当,"10,18",True,false
真是太幸运了,记者16日从第三军医大学新桥医院获悉,但,"6,19",False,false
真是太幸运了,尿毒症患者程霞冒死产下一名5斤重健康男婴,因,"6,21",False,true
真是太幸运了,我这条命都是妈妈给的,而,"6,11",False,false
真是太幸运了,现在我也有了宝宝,而,"6,9",True,false
