section,emo_clause_index,cau_candidate_index,emotion_clause,cause_candidate,conn,correctness,is_cause_conn
10,5,9,就会有网友担心老吴是不是去了,看到网友的发问,但,False,false
10,5,10,就会有网友担心老吴是不是去了,正在经历靶向药耐药性剧痛期的他,而,False,false
10,5,11,就会有网友担心老吴是不是去了,还是努力地敲下了四个字活着,但,False,false
10,5,12,就会有网友担心老吴是不是去了,活着,就,False,false
10,5,5,就会有网友担心老吴是不是去了,就会有网友担心老吴是不是去了,但,False,false
11,5,1,总之是无奈和心酸,目前全家依靠她两千多元工资生活,但,False,false
11,5,2,总之是无奈和心酸,看病已负债累累,但,True,false
11,5,3,总之是无奈和心酸,如果我不在了,但,False,false
11,5,4,总之是无奈和心酸,妻子没有深圳户籍日子会更难,若,True,false
11,5,6,总之是无奈和心酸,但我也很感谢那些帮助我的网友义工宁养院,但,False,false
11,5,7,总之是无奈和心酸,还有家人的不离不弃,但,False,false
11,5,8,总之是无奈和心酸,我现在只能咬牙继续坚持,但,False,false
11,5,9,总之是无奈和心酸,希望能够达成心愿,但,False,false
11,5,5,总之是无奈和心酸,总之是无奈和心酸,但,False,false
12,7,1,但我也很感谢那些帮助我的网友义工宁养院,目前全家依靠她两千多元工资生活,但,False,false
12,7,2,但我也很感谢那些帮助我的网友义工宁养院,看病已负债累累,但,False,false
12,7,3,但我也很感谢那些帮助我的网友义工宁养院,如果我不在了,但,False,false
12,7,4,但我也很感谢那些帮助我的网友义工宁养院,妻子没有深圳户籍,但,False,false
12,7,5,但我也很感谢那些帮助我的网友义工宁养院,日子会更难,但,False,false
12,7,6,但我也很感谢那些帮助我的网友义工宁养院,总之是无奈和心酸,但,False,false
12,7,8,但我也很感谢那些帮助我的网友义工宁养院,还有家人的不离不弃,但,True,false
12,7,9,但我也很感谢那些帮助我的网友义工宁养院,我现在只能咬牙继续坚持,但,False,false
12,7,10,但我也很感谢那些帮助我的网友义工宁养院,希望能够达成心愿,更,False,false
12,7,7,但我也很感谢那些帮助我的网友义工宁养院,但我也很感谢那些帮助我的网友义工宁养院,但,True,false
13,6,1,太没有人性,4月14日下午,但,False,false
13,6,2,太没有人性,有微博网友爆料称,更,False,false
13,6,3,太没有人性,通州台湖某制药厂内悬挂着数只死猫,而,False,false
13,6,4,太没有人性,并配发图片,但,False,false
13,6,5,太没有人性,众多网友指责如此虐猫,而,True,false
13,6,7,太没有人性,还有网友怀疑这是厂方处置流浪猫手段,但,False,false
13,6,6,太没有人性,太没有人性,但,False,false
14,2,1,妻子一时激动竟从阳台滑下,老公站在楼栋底下同站在6楼的妻子隔空拌嘴,与,True,false
14,2,3,妻子一时激动竟从阳台滑下,但幸运地挂在4楼晒衣架上,但,False,false
14,2,4,妻子一时激动竟从阳台滑下,老公立即大喊快抓紧,而,False,false
14,2,5,妻子一时激动竟从阳台滑下,我爱你,但,False,false
14,2,7,妻子一时激动竟从阳台滑下,自救成功,但,False,false
14,2,2,妻子一时激动竟从阳台滑下,妻子一时激动竟从阳台滑下,而,False,false
14,6,1,妻子被温馨的话语感动,老公站在楼栋底下同站在6楼的妻子隔空拌嘴,与,False,false
14,6,3,妻子被温馨的话语感动,但幸运地挂在4楼晒衣架上,但,False,false
14,6,4,妻子被温馨的话语感动,老公立即大喊快抓紧,而,False,false
14,6,5,妻子被温馨的话语感动,我爱你,但,False,false
14,6,7,妻子被温馨的话语感动,自救成功,而,False,false
14,6,6,妻子被温馨的话语感动,妻子被温馨的话语感动,当,True,false
16,5,1,小雯感到诧异,同月19日深夜11时,而,False,false
16,5,2,小雯感到诧异,韩男去电给小雯约在一处利店前碰面,而,False,false
16,5,3,小雯感到诧异,小雯误认对方是她的邱姓男友而赴约,因,True,true
16,5,4,小雯感到诧异,2人见面之后,当,False,false
16,5,6,小雯感到诧异,却也接受韩男提议,但,False,false
16,5,7,小雯感到诧异,在公园内聊天散步,就,False,false
16,5,8,小雯感到诧异,没多久韩男竟强拉小雯到厕所企图性侵,但,False,false
16,5,9,小雯感到诧异,但小雯反抗而未果,但,False,false
16,5,10,小雯感到诧异,韩男再强拉少女到运动场的司令台后方楼梯间性侵得逞,而,False,false
16,5,5,小雯感到诧异,小雯感到诧异,而,False,false
17,7,1,张治英心疼不已,五年了,就,False,false
17,7,2,张治英心疼不已,孩子一滴尿也没排过,但,False,false
17,7,3,张治英心疼不已,每天身上发痒疼痛胸口憋闷换不过气来,却,False,false
17,7,4,张治英心疼不已,经常大半夜睡不着觉,却,False,false
17,7,5,张治英心疼不已,我就骑摩托车带她出去遛弯,而,False,false
17,7,6,张治英心疼不已,看着曾经各方面优异的女儿如今成了这个样子,就,True,false
17,7,8,张治英心疼不已,在校期间,但,False,false
17,7,9,张治英心疼不已,张琼元每次考试都是前三名,但,False,false
17,7,10,张治英心疼不已,多年来,但,False,false
17,7,11,张治英心疼不已,一直担任班干部,但,False,false
17,7,7,张治英心疼不已,张治英心疼不已,当,False,false
18,2,1,张治英还给女儿买不起大碗面自责不已,直到现在,但,False,false
18,2,2,张治英还给女儿买不起大碗面自责不已,张治英还给女儿买不起大碗面自责不已,而,True,false
19,6,1,可张治英却怎么也高兴不起来,前段时间,而,False,false
19,6,2,可张治英却怎么也高兴不起来,在北京大学人民医院治疗时的大夫打来电话询问了琼元的病情后,而,False,false
19,6,3,可张治英却怎么也高兴不起来,说孩子还有希望,虽,False,false
19,6,4,可张治英却怎么也高兴不起来,建议做换肾手术,或,False,false
19,6,5,可张治英却怎么也高兴不起来,希望近在眼前,但,False,false
19,6,7,可张治英却怎么也高兴不起来,张琼元并不是他的亲生女儿,而,True,false
19,6,8,可张治英却怎么也高兴不起来,在一次检查中,但,False,false
19,6,9,可张治英却怎么也高兴不起来,张琼元得知自己是O型血,当,False,false
19,6,10,可张治英却怎么也高兴不起来,而父亲是A型,因,False,true
19,6,11,可张治英却怎么也高兴不起来,母亲是AB型时,当,False,false
19,6,12,可张治英却怎么也高兴不起来,聪明的她瞬间明白了其中的意味,但,False,false
19,6,6,可张治英却怎么也高兴不起来,可张治英却怎么也高兴不起来,但,False,false
20,7,1,张治英泣不成声,瞒不住了,就,False,false
20,7,2,张治英泣不成声,张治英问她想不想看望亲生父母,当,False,false
20,7,3,张治英泣不成声,张琼元哭着说我是你们的女儿,但,False,false
20,7,4,张治英泣不成声,看着懂事的女儿每天被病痛折磨着,但,False,false
20,7,5,张治英泣不成声,自己却不能为她捐肾,但,False,false
20,7,6,张治英泣不成声,想到自己无能为力,却,True,false
20,7,7,张治英泣不成声,张治英泣不成声,故,False,true
21,8,1,陈大爷终于笑了,民警将老人送到南钢厂区,当,False,false
21,8,2,陈大爷终于笑了,问了半天,就,False,false
21,8,3,陈大爷终于笑了,陈大爷也没有说清楚他家到底该怎么走,但,False,false
21,8,4,陈大爷终于笑了,无奈之下,但,False,false
21,8,5,陈大爷终于笑了,民警只能下车逐一询问附近的居民,而,False,false
21,8,6,陈大爷终于笑了,最终把陈大爷安全送回家,但,False,false
21,8,7,陈大爷终于笑了,到家后,就,True,false
21,8,9,陈大爷终于笑了,连声对民警道谢,便,False,true
21,8,10,陈大爷终于笑了,还热情挽留民警在家吃晚饭,但,False,false
21,8,11,陈大爷终于笑了,但被民警婉言谢绝,但,False,false
21,8,8,陈大爷终于笑了,陈大爷终于笑了,而,False,false
22,3,1,周围路过的多位居民都对她表示了赞扬,对于鲁女士遇见老人跌倒立刻出手相助,而,True,false
22,3,2,周围路过的多位居民都对她表示了赞扬,还陪着老人一起等民警的行为,但,False,false
22,3,4,周围路过的多位居民都对她表示了赞扬,出警的民警也告诉记者,而,False,false
22,3,5,周围路过的多位居民都对她表示了赞扬,跌倒的老人真的需要有人帮助,而,False,false
22,3,6,周围路过的多位居民都对她表示了赞扬,否则可能会发生二次事,但,False,false
22,3,7,周围路过的多位居民都对她表示了赞扬,扶老人而被讹的事情是极少数的,因,False,true
22,3,3,周围路过的多位居民都对她表示了赞扬,周围路过的多位居民都对她表示了赞扬,而,False,false
23,4,1,让人尊敬,在老一辈村民的记忆里,就,False,false
23,4,2,让人尊敬,谢德友镇定自若为溺亡村民黄某入殓的场景,而,True,false
23,4,3,让人尊敬,时隔多年仍历历在目,但,False,false
23,4,4,让人尊敬,让人尊敬,更,False,false
24,8,1,再次丈夫撒手人寰而陷入无限绝望中,眼前厚厚几沓病历相册证件,但,False,false
24,8,2,再次丈夫撒手人寰而陷入无限绝望中,白纸黑字如此刺眼绝望,但,False,false
24,8,3,再次丈夫撒手人寰而陷入无限绝望中,才敢相信她安静克制的脸庞下,但,False,false
24,8,4,再次丈夫撒手人寰而陷入无限绝望中,曾承受住多少次命运的陡然翻转,却,False,false
24,8,5,再次丈夫撒手人寰而陷入无限绝望中,自从17岁儿子病逝去,但,False,false
24,8,6,再次丈夫撒手人寰而陷入无限绝望中,丈夫与她领养了一个女儿,但,False,false
24,8,7,再次丈夫撒手人寰而陷入无限绝望中,刚树立起的生活希望,与,False,false
24,8,8,再次丈夫撒手人寰而陷入无限绝望中,再次丈夫撒手人寰而陷入无限绝望中,因,True,true
25,9,1,李芳痛不欲生,李芳抹着眼泪告诉小溪,但,False,false
25,9,2,李芳痛不欲生,2002年,由,False,true
25,9,3,李芳痛不欲生,她的儿子逝去了,但,False,false
25,9,4,李芳痛不欲生,儿子才17岁,而,False,false
25,9,5,李芳痛不欲生,活泼好动,但,False,false
25,9,6,李芳痛不欲生,热爱篮球,但,False,false
25,9,7,李芳痛不欲生,但是高二体检查出脑瘤,但,True,false
25,9,8,李芳痛不欲生,很快就不行了,但,True,false
25,9,10,李芳痛不欲生,捡起一把刀就想割脉自杀,当,False,false
25,9,9,李芳痛不欲生,李芳痛不欲生,而,False,false
26,5,1,再三确认后真的非常非常感动,上上周,就,False,false
26,5,2,再三确认后真的非常非常感动,安德烈突然找到我,当,False,false
26,5,3,再三确认后真的非常非常感动,说想要在医院举行婚礼,虽,True,false
26,5,4,再三确认后真的非常非常感动,我先是吓了一跳,但,False,false
26,5,6,再三确认后真的非常非常感动,医院的俄语翻译小董说,总,False,false
26,5,7,再三确认后真的非常非常感动,很多人可能以为只是举行婚礼,但,False,false
26,5,8,再三确认后真的非常非常感动,安慰安慰塔蒂亚娜,就,False,false
26,5,9,再三确认后真的非常非常感动,但他们是真的结婚并领了证,但,False,false
26,5,10,再三确认后真的非常非常感动,女方已经改了夫姓,而,False,false
26,5,11,再三确认后真的非常非常感动,小董称,但,False,false
26,5,12,再三确认后真的非常非常感动,消息一传出,但,False,false
26,5,13,再三确认后真的非常非常感动,医护人员感动不已,而,False,false
26,5,14,再三确认后真的非常非常感动,连医院后勤的工作人员都自发进行捐助,就,False,false
26,5,5,再三确认后真的非常非常感动,再三确认后真的非常非常感动,但,False,false
27,14,1,看着沟胁千年着急的样子,1952年夏,由,False,true
27,14,2,看着沟胁千年着急的样子,她和另7名日籍护士,而,False,false
27,14,3,看着沟胁千年着急的样子,从广西南宁军区303医院调到羊楼洞部队疗养所,因,False,true
27,14,4,看着沟胁千年着急的样子,羊楼洞地处湘鄂交界之要冲,而,False,false
27,14,5,看着沟胁千年着急的样子,就在这里,而,False,false
27,14,6,看着沟胁千年着急的样子,沟胁千年和当时患结核病正在此疗养的杜江群结识,而,False,false
27,14,7,看着沟胁千年着急的样子,29岁的杜江群是一所学校的政治教员,而,False,false
27,14,8,看着沟胁千年着急的样子,曾有过地下党经历,但,False,false
27,14,9,看着沟胁千年着急的样子,虽然病重,但,False,false
27,14,10,看着沟胁千年着急的样子,却依然乐观,但,False,false
27,14,11,看着沟胁千年着急的样子,当时,而,False,false
27,14,12,看着沟胁千年着急的样子,不少病员都排斥外籍护士的照料,但,True,false
27,14,13,看着沟胁千年着急的样子,态度甚至粗暴,但,True,false
27,14,15,看着沟胁千年着急的样子,杜江群站了出来,而,False,false
27,14,16,看着沟胁千年着急的样子,说服伤员,就,False,false
27,14,17,看着沟胁千年着急的样子,让他安心地接受治疗,就,False,false
27,14,14,看着沟胁千年着急的样子,看着沟胁千年着急的样子,而,False,false
28,7,1,张崇贞以她的品格赢得了所有人的敬重,不仅是对尹家的3个孩子,而,False,false
28,7,2,张崇贞以她的品格赢得了所有人的敬重,在街坊邻居中,而,False,false
28,7,3,张崇贞以她的品格赢得了所有人的敬重,张崇贞也有着他人不能及的好名声,而,False,false
28,7,4,张崇贞以她的品格赢得了所有人的敬重,任何人家需要帮忙,当,False,false
28,7,5,张崇贞以她的品格赢得了所有人的敬重,她总是一口答应,但,False,false
28,7,6,张崇贞以她的品格赢得了所有人的敬重,几十年里,但,False,false
28,7,8,张崇贞以她的品格赢得了所有人的敬重,尹春丽的母亲也早已将这位比她年长三十来岁的保姆,而,False,false
28,7,9,张崇贞以她的品格赢得了所有人的敬重,视为自己的亲生母亲,而,False,false
28,7,10,张崇贞以她的品格赢得了所有人的敬重,我妈妈后来将所有的钱都放在奶奶那里,而,False,false
28,7,11,张崇贞以她的品格赢得了所有人的敬重,她当家,由,False,true
28,7,12,张崇贞以她的品格赢得了所有人的敬重,她才是我们家的最高权威,而,False,false
28,7,7,张崇贞以她的品格赢得了所有人的敬重,张崇贞以她的品格赢得了所有人的敬重,而,True,false
29,18,1,不仅是悲伤也有欣慰,2010年,由,False,true
29,18,2,不仅是悲伤也有欣慰,母亲去世,因,False,true
29,18,3,不仅是悲伤也有欣慰,尹家的3个孩子将母亲和奶奶正式合葬,而,False,false
29,18,4,不仅是悲伤也有欣慰,墓碑后,故,False,true
29,18,5,不仅是悲伤也有欣慰,刻着这么一行字,就,False,false
29,18,6,不仅是悲伤也有欣慰,先恩祖慈张崇贞,由,False,true
29,18,7,不仅是悲伤也有欣慰,与先恩萍水相逢,但,False,false
29,18,8,不仅是悲伤也有欣慰,半生相伴,或,False,false
29,18,9,不仅是悲伤也有欣慰,同甘苦共患难,如,False,false
29,18,10,不仅是悲伤也有欣慰,恩比天高,但,False,false
29,18,11,不仅是悲伤也有欣慰,情同水长,但,False,false
29,18,12,不仅是悲伤也有欣慰,合葬时的景象,如,False,false
29,18,13,不仅是悲伤也有欣慰,尹春丽记忆犹新,与,False,false
29,18,14,不仅是悲伤也有欣慰,两人骨灰葬下去的一瞬间,当,False,false
29,18,15,不仅是悲伤也有欣慰,我似乎回到了过往,而,False,false
29,18,16,不仅是悲伤也有欣慰,看到她们并肩扛起这个家的情景,当,True,false
29,18,17,不仅是悲伤也有欣慰,我很想流泪,但,False,false
29,18,18,不仅是悲伤也有欣慰,不仅是悲伤也有欣慰,但,False,false
30,8,1,朱洪生很是自豪,朱洪生今年55岁,但,False,false
30,8,2,朱洪生很是自豪,1979年参加工作时才19岁,但,False,false
30,8,3,朱洪生很是自豪,已有36年的手艺,但,False,false
30,8,4,朱洪生很是自豪,我当时被分到丹阳南京理发店工作,而,False,false
30,8,5,朱洪生很是自豪,这是当时丹阳最大的理发店,而,False,false
30,8,6,朱洪生很是自豪,我在那儿获得了好多证书和荣誉,而,False,false
30,8,7,朱洪生很是自豪,说起自己工作过的地方和自己的荣誉,就,True,false
30,8,8,朱洪生很是自豪,朱洪生很是自豪,而,False,false
31,1,2,让朱洪生感动的是,有些客人他收费宜都为他着想,而,True,false
31,1,3,让朱洪生感动的是,剪完头发就走了也不洗,但,False,false
31,1,4,让朱洪生感动的是,就为能帮他省点水电费,但,False,false
31,1,5,让朱洪生感动的是,回家反正洗澡,就,False,false
31,1,6,让朱洪生感动的是,收费这么宜,但,False,false
31,1,7,让朱洪生感动的是,就不麻烦他洗头了,但,False,false
31,1,8,让朱洪生感动的是,昨天理完发后站起身来就付钱的史阿姨笑着说,而,False,false
31,1,9,让朱洪生感动的是,我这里的客人都蛮好的,而,False,false
31,1,10,让朱洪生感动的是,有的并不是价格低才来的,但,False,false
31,1,11,让朱洪生感动的是,他们认可我了,但,False,false
31,1,12,让朱洪生感动的是,朱洪生告诉记者,而,False,false
31,1,13,让朱洪生感动的是,有的老邻居搬家去别的地方,更,False,false
31,1,14,让朱洪生感动的是,但是理发还是找他,但,False,false
31,1,1,让朱洪生感动的是,让朱洪生感动的是,更,False,false
32,4,1,让郭惠英感动的是,经抢救,但,False,false
32,4,2,让郭惠英感动的是,两个孩子和周先生先后苏醒脱离了危险,但,False,false
32,4,3,让郭惠英感动的是,但郭惠英一直抢救到第二天凌晨才苏醒,但,False,false
32,4,5,让郭惠英感动的是,她醒来时,当,False,false
32,4,6,让郭惠英感动的是,还有一位民警守在身边,但,True,false
32,4,4,让郭惠英感动的是,让郭惠英感动的是,更,False,false
33,5,1,郭惠英17年来的这份举动让大家很感动,保护人民生命财产安全,因,False,true
33,5,2,郭惠英17年来的这份举动让大家很感动,本身就是我们警察的责任,但,False,false
33,5,3,郭惠英17年来的这份举动让大家很感动,是我们理所应当做的事情,但,False,false
33,5,4,郭惠英17年来的这份举动让大家很感动,毛大队长说,由,False,true
33,5,6,郭惠英17年来的这份举动让大家很感动,更感到自身责任重大,但,False,false
33,5,7,郭惠英17年来的这份举动让大家很感动,使命光荣,但,False,false
33,5,5,郭惠英17年来的这份举动让大家很感动,郭惠英17年来的这份举动让大家很感动,而,True,false
34,2,1,我很感动,不是自己的儿子老程还能这样,而,True,false
34,2,3,我很感动,俺既然是老乡,但,False,false
34,2,4,我很感动,就得帮他,但,False,false
34,2,5,我很感动,朱俊钦说,但,False,false
34,2,6,我很感动,他的加入让程相前轻松了不少,而,False,false
34,2,7,我很感动,如今给宋文山洗澡,但,False,false
34,2,8,我很感动,都是两人一起架着他洗,但,False,false
34,2,2,我很感动,我很感动,但,False,false
35,8,1,刘名书看到母亲的照片很激动,老人说,当,False,false
35,8,2,刘名书看到母亲的照片很激动,58年来自己也一直想寻找女儿刘名书,但,False,false
35,8,3,刘名书看到母亲的照片很激动,但失散时她连女儿的名字都不知道,但,False,false
35,8,4,刘名书看到母亲的照片很激动,更谈不上寻找,但,False,false
35,8,5,刘名书看到母亲的照片很激动,目前,而,False,false
35,8,6,刘名书看到母亲的照片很激动,雷红路和小姨通过微信,与,False,false
35,8,7,刘名书看到母亲的照片很激动,交换了外婆和母亲的照片,就,False,false
35,8,9,刘名书看到母亲的照片很激动,她说这事我跟丈夫说过,但,False,false
35,8,10,刘名书看到母亲的照片很激动,跟大儿子说过,就,False,false
35,8,11,刘名书看到母亲的照片很激动,结果小儿子帮我找到了母亲,但,False,false
35,8,12,刘名书看到母亲的照片很激动,她也让儿子雷红路向陈警官表示感谢,而,False,false
35,8,8,刘名书看到母亲的照片很激动,刘名书看到母亲的照片很激动,而,True,false
36,6,1,心里还是挺高兴的,谈到成名所带来的变化时,当,False,false
36,6,2,心里还是挺高兴的,余秀华说收入的增多是的,但,False,false
36,6,3,心里还是挺高兴的,之前对出名没有期待,但,False,false
36,6,4,心里还是挺高兴的,但它真的来了,但,False,false
36,6,5,心里还是挺高兴的,而且让生活过得更好,而,True,false
36,6,7,心里还是挺高兴的,但这在村里没有太大影响,但,False,false
36,6,8,心里还是挺高兴的,老乡还是把我看成余秀华,但,False,false
36,6,9,心里还是挺高兴的,没有把我看成是怪物,却,False,false
36,6,6,心里还是挺高兴的,心里还是挺高兴的,但,False,false
37,6,1,感动了无数人,为国教子,因,False,true
37,6,2,感动了无数人,以德育人,故,False,true
37,6,3,感动了无数人,盲人夫妇演绎现实版孟母三迁,当,True,false
37,6,4,感动了无数人,为孩子成长创造环境的事,而,False,false
37,6,5,感动了无数人,在蛟河市传开后,但,False,false
37,6,7,感动了无数人,庄保清也获得了吉林省十佳好家长全国传承好家风好妈好爸等荣誉称号,而,False,false
37,6,6,感动了无数人,感动了无数人,更,False,false
38,3,1,感觉天都要塌了,34岁的王志刚在去年四月被检查出患有慢性肾衰竭,而,False,false
38,3,2,感觉天都要塌了,这一检测结果打破了原本幸福的三口之家,但,False,false
