section,discourse,word_count,doc_len,clause_len,emotion_pos,cause_pos,true_pairs
13,4月14日下午有微博网友爆料称通州台湖某制药厂内悬挂着数只死猫并配发图片众多网友指责如此虐猫太没有人性还有网友怀疑这是厂方处置流浪猫手段,68,7,"[7, 8, 16, 5, 10, 5, 17]",[6],[[5]],"[[6, 5]]"
14,老公站在楼栋底下同站在6楼的妻子隔空拌嘴妻子一时激动竟从阳台滑下但幸运地挂在4楼晒衣架上老公立即大喊快抓紧我爱你妻子被温馨的话语感动自救成功,70,7,"[20, 12, 12, 9, 3, 10, 4]","[2, 6]","[[1], [6]]","[[2, 1], [6, 6]]"
16,同月19日深夜11时韩男去电给小雯约在一处便利店前碰面小雯误认对方是她的邱姓男友而赴约2人见面之后小雯感到诧异却也接受韩男提议在公园内聊天散步没多久韩男竟强拉小雯到厕所企图性侵但因小雯反抗而未果韩男再强拉少女到运动场的司令台后方楼梯间性侵得逞,121,10,"[10, 17, 16, 6, 6, 8, 8, 17, 9, 24]",[5],[[3]],"[[5, 3]]"
17,五年了孩子一滴尿也没排过每天身上发痒疼痛胸口憋闷换不过气来经常大半夜睡不着觉我就骑摩托车带她出去遛弯看着曾经各方面优异的女儿如今成了这个样子张治英心疼不已在校期间张琼元每次考试都是前三名多年来一直担任班干部,103,11,"[3, 9, 17, 9, 12, 20, 7, 4, 12, 3, 7]",[7],[[6]],"[[7, 6]]"
18,直到现在张治英还因为给女儿买不起大碗面自责不已,23,2,"[4, 19]",[2],[[2]],"[[2, 2]]"
19,前段时间在北京大学人民医院治疗时的大夫打来电话询问了琼元的病情后说孩子还有希望建议做换肾手术希望近在眼前可张治英却怎么也高兴不起来因为张琼元并不是他的亲生女儿在一次检查中张琼元得知自己是O型血而父亲是A型母亲是AB型时聪明的她瞬间明白了其中的意味,123,12,"[4, 28, 7, 7, 6, 13, 14, 6, 11, 6, 7, 14]",[6],[[7]],"[[6, 7]]"
20,瞒不住了张治英问她想不想看望亲生父母张琼元哭着说我是你们的女儿看着懂事的女儿每天被病痛折磨着自己却不能为她捐肾想到自己无能为力张治英泣不成声,70,7,"[4, 14, 13, 15, 9, 8, 7]",[7],[[6]],"[[7, 6]]"
21,民警将老人送到南钢厂区问了半天陈大爷也没有说清楚他家到底该怎么走无奈之下民警只能下车逐一询问附近的居民最终把陈大爷安全送回家到家后陈大爷终于笑了连声对民警道谢还热情挽留民警在家吃晚饭但被民警婉言谢绝,99,11,"[11, 4, 17, 4, 15, 11, 3, 7, 7, 12, 8]",[8],[[7]],"[[8, 7]]"
22,对于鲁女士遇见老人跌倒立刻出手相助还陪着老人一起等民警的行为周围路过的多位居民都对她表示了赞扬出警的民警也告诉记者跌倒的老人真的需要有人帮助否则可能会发生二次事故因扶老人而被讹的事情是极少数的,96,7,"[17, 13, 17, 10, 13, 11, 15]",[3],[[1]],"[[3, 1]]"
23,在老一辈村民的记忆里谢德友镇定自若为溺亡村民黄某入殓的场景时隔多年仍历历在目让人尊敬,42,4,"[10, 19, 9, 4]",[4],[[2]],"[[4, 2]]"
24,眼前厚厚几沓病历相册证件白纸黑字如此刺眼绝望才敢相信她安静克制的脸庞下曾承受住多少次命运的陡然翻转自从17岁儿子因病逝去丈夫与她领养了一个女儿刚树立起的生活希望再次因丈夫撒手人寰而陷入无限绝望中,97,8,"[12, 10, 13, 14, 11, 11, 9, 17]",[8],[[8]],"[[8, 8]]"
25,李芳抹着眼泪告诉小溪2002年她的儿子逝去了儿子才17岁活泼好动热爱篮球但是高二体检查出脑瘤很快就不行了李芳痛不欲生捡起一把刀就想割脉自杀,69,10,"[10, 5, 7, 6, 4, 4, 10, 6, 6, 11]",[9],"[[7, 8]]","[[9, 7], [9, 8]]"
26,上上周安德烈突然找到我说想要在医院举行婚礼我先是吓了一跳再三确认后真的非常非常感动医院的俄语翻译小董说很多人可能以为只是举行婚礼安慰安慰塔蒂亚娜但他们是真的结婚并领了证女方已经改了夫姓小董称消息一传出医护人员感动不已连医院后勤的工作人员都自发进行捐助,125,14,"[3, 8, 10, 7, 13, 10, 13, 8, 12, 8, 3, 5, 8, 17]",[5],[[3]],"[[5, 3]]"
27,1952年夏她和另7名日籍护士从广西南宁军区303医院调到羊楼洞部队疗养所羊楼洞地处湘鄂交界之要冲就在这里沟胁千年和当时因患结核病正在此疗养的杜江群结识29岁的杜江群是一所学校的政治教员曾有过地下党经历虽然病重却依然乐观当时不少病员都排斥外籍护士的照料态度甚至粗暴看着沟胁千年着急的样子杜江群站了出来说服伤员让他安心地接受治疗,163,17,"[6, 9, 22, 12, 4, 23, 17, 8, 4, 5, 2, 14, 6, 11, 7, 4, 9]",[14],"[[12, 13]]","[[14, 12], [14, 13]]"
28,不仅是对尹家的3个孩子在街坊邻居中张崇贞也有着他人不能及的好名声任何人家需要帮忙她总是一口答应几十年里张崇贞以她的品格赢得了所有人的敬重尹春丽的母亲也早已将这位比她年长三十来岁的保姆视为自己的亲生母亲我妈妈后来将所有的钱都放在奶奶那里由她当家她才是我们家的最高权威,132,12,"[11, 6, 15, 8, 7, 4, 17, 23, 9, 17, 4, 11]",[7],[[7]],"[[7, 7]]"
29,2010年母亲去世尹家的3个孩子将母亲和奶奶正式合葬墓碑后刻着这么一行字先恩祖慈张崇贞与先恩萍水相逢半生相伴同甘苦共患难恩比天高情同水长合葬时的景象尹春丽记忆犹新两人骨灰葬下去的一瞬间我似乎回到了过往看到她们并肩扛起这个家的情景我很想流泪不仅是悲伤也有欣慰,128,18,"[5, 4, 17, 3, 7, 7, 7, 4, 6, 4, 4, 6, 7, 11, 8, 14, 5, 9]",[18],[[16]],"[[18, 16]]"
30,朱洪生今年55岁1979年参加工作时才19岁已有36年的手艺我当时被分到丹阳南京理发店工作这是当时丹阳最大的理发店我在那儿获得了好多证书和荣誉说起自己工作过的地方和自己的荣誉朱洪生很是自豪,94,8,"[8, 14, 8, 15, 12, 14, 16, 7]",[8],[[7]],"[[8, 7]]"
31,让朱洪生感动的是有些客人因为他收费便宜都为他着想剪完头发就走了也不洗就为能帮他省点水电费回家反正洗澡收费这么便宜就不麻烦他洗头了昨天理完发后站起身来就付钱的史阿姨笑着说我这里的客人都蛮好的有的并不是因为价格低才来的他们认可我了朱洪生告诉记者有的老邻居因为搬家去别的地方但是理发还是找他,142,14,"[8, 16, 10, 10, 6, 6, 8, 20, 10, 13, 6, 7, 14, 8]",[1],[[2]],"[[1, 2]]"
32,经抢救两个孩子和周先生先后苏醒脱离了危险但郭惠英一直抢救到第二天凌晨才苏醒让郭惠英感动的是她醒来时还有一位民警守在身边,59,6,"[3, 17, 17, 8, 4, 10]",[4],[[6]],"[[4, 6]]"
33,保护人民生命财产安全本身就是我们警察的责任是我们理所应当做的事情毛大队长说郭惠英17年来的这份举动让大家很感动更感到自身责任重大使命光荣,68,7,"[10, 11, 11, 5, 18, 9, 4]",[5],[[5]],"[[5, 5]]"
34,不是自己的儿子老程还能这样我很感动俺既然是老乡就得帮他朱俊钦说他的加入让程相前轻松了不少如今给宋文山洗澡都是两人一起架着他洗,62,8,"[13, 4, 6, 4, 4, 13, 8, 10]",[2],[[1]],"[[2, 1]]"
35,老人说58年来自己也一直想寻找女儿刘名书但失散时她连女儿的名字都不知道更谈不上寻找目前雷红路和小姨通过微信交换了外婆和母亲的照片刘名书看到母亲的照片很激动她说这事我跟丈夫说过跟大儿子说过结果小儿子帮我找到了母亲她也让儿子雷红路向陈警官表示感谢,121,12,"[3, 17, 15, 6, 2, 10, 11, 13, 10, 6, 12, 16]",[8],[[8]],"[[8, 8]]"
36,谈到成名所带来的变化时余秀华说收入的增多是自然的之前对出名没有期待但它真的来了而且让生活过得更好心里还是挺高兴的但这在村里没有太大影响老乡还是把我看成余秀华没有把我看成是怪物,87,9,"[11, 13, 9, 6, 9, 8, 11, 11, 9]",[6],[[5]],"[[6, 5]]"
37,为国教子以德育人盲人夫妇演绎现实版孟母三迁为孩子成长创造环境的故事在蛟河市传开后感动了无数人庄保清也获得了吉林省十佳好家长全国传承好家风好妈好爸等荣誉称号,77,7,"[4, 4, 13, 12, 7, 6, 31]",[6],[[3]],"[[6, 3]]"
38,34岁的王志刚在去年四月被检查出患有慢性肾衰竭这一检测结果打破了原本幸福的三口之家感觉天都要塌了徐萍这样来形容得知丈夫患病时的感受因为丈夫是她和两岁孩子的支柱,79,5,"[23, 18, 7, 17, 14]",[3],[[5]],"[[3, 5]]"
39,她身体就不好娃娃也要人照顾张志刚得知妻子要捐肾给自己时他十分感动同时也非常担心好在17日夫妻俩在四川大学华西医院的手术非常顺利,63,6,"[6, 7, 14, 5, 7, 24]","[4, 5]","[[3], [3]]","[[4, 3], [5, 3]]"
41,翟金华介绍哥哥当兵走的时候还是解放前那时自己才15岁不懂事再加上时间过去很久了很多事情自己都记不得了我只记得他走后不久我奶奶还骑着小毛驴带着我去他参军后暂时驻扎的村庄看他后来就再也没有音讯了直到1952年民政部门送到家里一个烈士证说我哥死在朝鲜了当时我娘我嫂子都哭昏过去了,136,13,"[5, 13, 8, 3, 10, 11, 18, 17, 10, 7, 13, 8, 13]",[13],[[12]],"[[13, 12]]"
42,中国人自古有落叶归根的传统63年来我日夜都想有朝一日能找到父亲的安葬地如果能和父亲团聚真的是皆大欢喜同时记者与周玉玺烈士的孙女周女士取得了联系周女士说自己的父亲今年已经65岁高龄了一直心心念念牵挂着爷爷的去向总是让自己去打听见到本报刊发的为烈士找寻亲人的报道自己和父亲都激动不已,139,13,"[13, 4, 18, 8, 7, 2, 19, 4, 15, 14, 8, 17, 10]","[5, 13]","[[4], [12]]","[[5, 4], [13, 12]]"
44,记者16日从第三军医大学新桥医院获悉尿毒症患者程霞冒死产下一名5斤重健康男婴我这条命都是妈妈给的现在我也有了宝宝真是太幸运了还要感谢所有帮助过我的人还躺在病床上的程霞以微弱的声音说到,91,8,"[18, 20, 10, 8, 6, 12, 9, 8]","[5, 6]","[[4], [6]]","[[5, 4], [6, 6]]"
46,据台湾中央社16日报道日本男性2月14日情人节通常会收到巧克力和其他礼物而他们3月14日白色情人节当天必须回送礼物给另一半西山美惠31岁的丈夫一脚将她踢开后她疑似企图用领带掐死他老公午夜时分打电话报警西山美惠随后在日本西部堺市家中被捕并向警方表示她怀疑老公有外遇西山告诉警方老公情人节没有回送礼物她气到想勒死他,155,12,"[11, 25, 25, 17, 11, 11, 17, 6, 8, 6, 11, 7]",[12],[[11]],"[[12, 11]]"
47,闺女是高中教师现在带着高三毕业班工作忙也顾不上自己的事我和她妈着急啊就趁有活动来替她看看在相亲活动现场老年人的数量基本上和年轻人相当他们都是来替孩子打头阵的,78,8,"[7, 9, 11, 7, 10, 7, 15, 12]",[4],[[3]],"[[4, 3]]"
48,记者调查发现本该是年轻人自己做主的相亲大会反而是爹妈唱了主角要么是儿女排斥相亲不愿来现场父母着急主动请缨要么就是父母不放心替孩子来把关货比三家,71,8,"[6, 15, 9, 9, 5, 8, 9, 10]",[6],"[[4, 5]]","[[6, 4], [6, 5]]"
49,经过一段时间的交往他们都感觉非常有缘经过几个月的地下恋情徐某便信誓旦旦地表示愿意娶黄女士为妻年轻时的情感创伤让黄女士心有余悸她并没有接受徐某的求婚之后两人继续以姐弟相称,84,7,"[9, 9, 10, 18, 16, 11, 11]",[5],[[5]],"[[5, 5]]"
50,事业有成的黄女士与小20岁的小伙结婚为避免人财两空两人在婚前进行了财产公证怎知婚后小伙两次拿走黄女士钱财黄女士无奈之下向法院提起诉讼,66,5,"[18, 7, 12, 15, 14]",[5],[[4]],"[[5, 4]]"
51,2014年11月徐某趁黄女士不在家将她准备还房贷的12万元现金拿走待黄女士发现后虽联系上了徐某但他却拒绝归还这笔现金黄女士无奈之下向公安机关报了案徐某迫于压力将其中的10万元通过银行汇款还给了黄女士然而对剩余的2万元却迟迟不予归还并且把黄女士的电话号码拖进了黑名单,132,10,"[8, 9, 16, 14, 11, 15, 6, 20, 16, 17]",[6],[[5]],"[[6, 5]]"
52,女子未婚先孕在厕所里产下前男友孩子后因害怕被现男友知道居然用塑料带勒住孩子脖子使其窒息而死事后竟又回到寝室睡觉,55,6,"[6, 12, 9, 12, 6, 10]",[3],[[3]],"[[3, 3]]"
53,2014年12月21日晚上11点方某感觉肚子很疼就去了厕所结果产下一男婴方某忙用手把孩子的脐带扯断然后给王明打电话因其电话被王明拉黑故久打不通由于过度惊慌且害怕婴儿的啼哭声被宿舍同学听到方某随手捡过一个黑色塑料袋将其扭成条状缠绕在男婴的脖子上使其窒息而死并将其尸体用黑色塑料袋包了五六层放入自己床底的行李箱中上面以衣服遮盖,161,15,"[16, 13, 7, 13, 8, 9, 5, 22, 13, 6, 9, 6, 16, 11, 7]",[8],[[8]],"[[8, 8]]"
54,方某出于无知和害怕知道怀孕后并没有进行相应孕检也没有为婴儿降生做相应的准备突然产子后怕被人发现为了保住脸面情急之下不择手段事后又追悔莫及,68,8,"[9, 14, 14, 5, 5, 6, 8, 7]","[8, 5]","[[7], [5]]","[[8, 7], [5, 5]]"
56,陈某得知丈夫婚外同居后无奈的她没有太多怨言只要求叶某每月及时支付保姆费和生活费直至去年4月份瘫痪在床的陈某灰心丧气便服农药自杀了,64,5,"[11, 10, 18, 7, 18]",[2],[[1]],"[[2, 1]]"
57,当时家里的大事小事都是婆婆当家做主侯爱红说虽然夫妻俩的感情一直很好但婆媳问题却日渐严重夹在中间为难的郭永奎爱上了喝酒对家里的事不管不顾家中所有的担子几乎落在了侯爱红一个人身上面对日益找茬的婆婆和经常醉酒的丈夫侯爱红说她在无奈之下提出了协议离婚,121,12,"[17, 4, 12, 10, 10, 5, 9, 7, 13, 17, 4, 13]",[12],[[10]],"[[12, 10]]"
58,郭永奎离婚后在父母的安排下谈过3个女朋友但都没有结果因为她们都觉得郭永奎心里一直没有忘记前妻郭永奎先后送走了逝去的父母为了生计辗转多地打工父母的离世对前妻和孩子的思念让他经常感到绝望压抑,93,11,"[6, 7, 7, 6, 7, 13, 13, 10, 5, 9, 10]",[11],"[[9, 10]]","[[11, 9], [11, 10]]"
59,我当时还沉浸在买了新房成了漯河市民的喜悦中感觉终于可以松一口气停下脚步歇一歇了侯爱红告诉记者这时她突然接到郭永奎朋友的电话说郭永奎在济南得了脑溢血现在昏迷住在济南一家医院,85,8,"[11, 10, 10, 8, 7, 15, 12, 12]",[2],"[[1, 2]]","[[2, 1], [2, 2]]"
60,虽然已经离婚十年了但是看着他躺在医院不能动我还是挺心疼的在一起的那些年他对我挺好的我们之间也没有什么大的矛盾在济南陪他治病那段时间我想了很多虽然已经离婚了但他毕竟是孩子的亲爹为了孩子我也不能不管他侯爱红说,102,13,"[9, 12, 7, 7, 6, 13, 11, 5, 7, 10, 4, 7, 4]",[3],[[2]],"[[3, 2]]"
61,婚后第2个月李梅便怀孕了但仅3个月后李梅却发现丈夫刘军有外遇并且这个潜伏已久的第三者也已怀孕自觉愧疚的丈夫刘军不停地道歉希望能够挽留李梅他还写了份保证书保证以后不再联系第三者如果做不到净身出户房子留给李梅和孩子,105,11,"[6, 6, 6, 12, 16, 22, 8, 11, 5, 4, 9]",[6],"[[4, 5]]","[[6, 4], [6, 5]]"
62,春节假期已经结束上班族开启了上班模式但春节期间的那场战争——相亲却让剩男剩女们心有余悸,43,4,"[8, 10, 14, 11]",[4],[[3]],"[[4, 3]]"
63,3月5日有网友在红网论坛以常德一美女写保证书要嫁出去不然就睡马路为题晒出了一张保证书吐槽自己成为被催婚族的苦恼和无奈,58,4,"[4, 30, 8, 16]",[4],[[4]],"[[4, 4]]"
64,相比于小徐的淡定小徐的妈妈就坐不住了她周围的同学朋友同事都陆陆续续结婚了她连个男朋友都没谈过我确实很着急我也知道这个保证书没什么实质性作用就是图个心安,75,8,"[8, 10, 10, 8, 10, 6, 17, 6]",[6],[[5]],"[[6, 5]]"
65,昨天得知有很多热心人都愿意帮助她完成心愿王女士很开心无论什么结果我都能接受当然也期待能有一个好结果感谢这些热心人和媒体,59,6,"[2, 18, 6, 11, 12, 10]",[3],[[2]],"[[3, 2]]"
66,昨晚11时48分王女士给记者回过来电话表示因为外出办事手机没电了没想到错过了记者那么多电话当得知心仪男子已找到王女士非常激动真的啊这么快随后当记者告诉她这名男子已婚的消息后电话那头的王女士沉默的几秒钟后表示这样啊那就没有见面的必要了也没什么遗憾了至少我努力了做了一件感动自己的事情当得知对方快要当爸爸的消息后王女士连连说了几句祝福他并表示这件事就这么过去了她会继续寻找属于自己的幸福,191,20,"[8, 13, 6, 5, 13, 10, 7, 3, 3, 8, 10, 20, 10, 7, 6, 11, 14, 12, 12, 13]",[7],[[6]],"[[7, 6]]"
67,亲戚朋友我都借了终于凑到钱做了手术但我们再也承担不了昂贵的医药费术后第二天他就出院就连术后拆线都是他对着镜子拆的回忆起最难的日子徐永芬仍忍不住哽咽,73,8,"[8, 9, 15, 9, 6, 9, 8, 9]",[8],[[7]],"[[8, 7]]"
68,每当在新闻上看到血库告急的消息刘淑梅就很焦虑她希望能有更多的人加入义务献血的队伍给紧急患者扩宽生命道路但是献血是自愿的事在刘淑梅看来自己十几年的献血经历是义务而非张扬的资本她希望自己的坚持能稍稍缓解一下血库的存血不足情况,110,8,"[15, 7, 18, 11, 9, 6, 20, 24]",[2],[[1]],"[[2, 1]]"
69,刘淑梅乐呵呵地告诉记者她和她的家人都很健康所以可以持续献血为社会做贡献曾经刘淑梅一直为献血年龄限定在55岁而苦恼我现在献血都成习惯了要是因为年龄到了不能继续献血我就会非常失落后来血站工作人员告诉我献血年龄现在放宽到60岁我还可以继续献血一直到我六十岁那一天到我的身体不允许我献血的那一天,143,11,"[11, 10, 14, 21, 10, 21, 11, 12, 8, 10, 15]","[4, 6]","[[4], [6]]","[[4, 4], [6, 6]]"
71,去年庙会上他发现一个小孩漫无目的的边哭边走旁边没有大人陪伴于是赶紧上前询问果然一问得知孩子跟家人走散了他马上蹲下身子哄孩子将其带到执法车上吃东西喝水休息取暖问清楚父母姓名后随即打电话给地坛庙会指挥部广播寻找孩子家长再通知公安部门帮助寻找最后终于帮孩子找到了母亲,130,15,"[5, 16, 8, 8, 2, 12, 10, 13, 4, 8, 13, 8, 11, 2, 10]",[2],[[6]],"[[2, 6]]"
72,大年三十晚上我都会给家里打个电话给父母拜个年孩子上小学一年级看着别的家长带着孩子来地坛庙会我却不能陪孩子过年再想想父母的年纪也越来越大了心里总会很愧疚寇文军家里有两位老人春节前夕都刚做完手术现在正是最需要照顾的时候可队里太忙实在顾不上回家他只好将照顾老人和孩子的重任都交给了老婆,139,14,"[16, 6, 8, 15, 9, 14, 7, 10, 10, 12, 5, 7, 14, 6]",[7],"[[5, 6]]","[[7, 5], [7, 6]]"
73,每逢周三北京儿童医院的病房里都会传出阵阵笑声不用说肯定是小丑叔叔又来了提到刘进军的名字小病友们都不知所以但一说小丑叔叔几乎无人不知这位藏在浓墨重彩后的七旬老人总能用魔术和气球让患儿暂时忘掉病痛,96,9,"[4, 18, 3, 10, 8, 9, 13, 14, 17]",[2],[[4]],"[[2, 4]]"
74,北京儿童医院护理部的一位护士告诉记者老人十多年坚持义务表演的行为让大家都由衷敬佩每周都雷打不动地来从不缺勤迟到,55,5,"[18, 14, 8, 9, 6]",[3],[[2]],"[[3, 2]]"
75,一群爱心志愿者簇拥着李世铭夫妇和他们两岁的儿子李沐羿鑫兴高采烈地走进家门对于李世铭一家来说那天是一个大喜的日子被拐骗45天的儿子在那天终于回家了,72,4,"[36, 9, 10, 17]",[3],[[4]],"[[3, 4]]"
76,李世铭紧紧地抱着儿子一刻也不愿放开45天对于失去儿子的他们是多么的漫长宝贝回家了这个春节将是多么幸福,50,6,"[10, 7, 3, 15, 5, 10]",[6],[[5]],"[[6, 5]]"
77,2012年9月他们的儿子李沐羿鑫出生孩子的出生给一家人带来了无尽的喜悦和欢乐一家人尽管生活清苦但其乐融融因为李世铭夫妇为生活奔波忙碌孩子一直由奶奶照看眼看着儿子一天天长大常年在侯马市打工的李世铭觉得儿子性格有些内向应该多接触外面的世界,117,10,"[7, 11, 20, 9, 5, 14, 9, 10, 22, 10]",[3],[[3]],"[[3, 3]]"
78,当奶奶和摊主讨价还价时突然发现孙子不见了奶奶急忙在周围寻找可哪里也看不到孙子的影子她心急火燎地给儿子李世铭打电话李世铭立即放下手里的工作赶到火车站两人找遍了火车站附近的角落可是再也没有看到小鑫鑫的身影奶奶当即瘫坐在地上失声痛哭,113,10,"[11, 9, 9, 12, 15, 17, 13, 14, 9, 4]","[5, 10]","[[4], [8]]","[[5, 4], [10, 8]]"
80,不仅如此志愿者荣荣还亲自去运城河津等县市对接当地志愿者组织动员和呼吁当地志愿者共同发起寻找小鑫鑫的行动志愿者的一言一行温暖和感动着李世铭一家丢失了孩子他们是不幸的但众多志愿者的关心和帮助他们又觉得是幸运的,102,8,"[4, 25, 22, 19, 5, 6, 12, 9]",[4],[[4]],"[[4, 4]]"
81,提起志愿者小鑫鑫的奶奶激动得流着热泪表示她也要做志愿者她的儿子儿媳孙子都要做志愿者他们家世世代代都要做志愿者这个传统一定要传递下去,65,6,"[5, 15, 7, 14, 13, 11]",[2],[[1]],"[[2, 1]]"
82,2月13日一大早当项目组民警押着犯罪嫌疑人并带着解救回来的小鑫鑫凯旋归来一下高速口就受到了闻讯赶来的志愿者团队的热情欢迎和慰问上午10时李世铭一家闻讯后赶到侯马市公安局门口看到失而复得的儿子一家人禁不住泪流满面,105,8,"[8, 28, 5, 22, 5, 18, 9, 10]",[8],[[7]],"[[8, 7]]"
83,2月13日晚记者在李世铭家见到被拐骗45天回家的李沐羿鑫李世铭说孩子回来后不敢与陌生人说话比以前胆子小了许多他们会用全部的爱抚慰孩子幼小的心灵让孩子更健康更阳光地成长并希望通过本报向侯马市公安局向侯马志愿者团队向所有关心帮助他们全家寻找小鑫鑫的好心人表示感谢,129,8,"[6, 22, 4, 13, 9, 17, 12, 46]",[8],[[8]],"[[8, 8]]"
84,蜗居在山半腰的111岁和维瑞与105岁李进初两位百岁老人百年好合的爱情故事让人心生敬仰情人节和春节的临近社会爱心人士也纷纷上门探望慰问这对百岁夫妻并送上节日祝福,80,5,"[22, 15, 6, 9, 28]",[3],[[2]],"[[3, 2]]"
85,志愿者送来的一支玫瑰让整日躺在躺椅上的李进初心生欢喜腼腆接过然后默默无语地送给了一旁安静坐着的妻子和维瑞艳红的玫瑰让两位百岁老人都激动起来两手枯瘦的手紧紧地握在了一起,83,7,"[10, 16, 4, 22, 5, 12, 14]","[2, 6]","[[1], [5]]","[[2, 1], [6, 5]]"
87,开明的地主感动和维瑞和李进初的爱情好心做主主持了他们结为夫妻而这一艰苦环境中的爱情结合让他们相守相依到白头,53,5,"[5, 12, 13, 13, 10]",[2],[[2]],"[[2, 2]]"
88,看到童童入学他很高兴平时只要路过小学他总喜欢慢慢走到教室外面透过窗户看看坐在前排的童童我还是很感慨的看到童童就会想起自己的孩子,63,7,"[6, 4, 8, 12, 13, 7, 13]",[2],[[1]],"[[2, 1]]"
89,仁厚社区也格外照顾她2003年起她每月都能领到计生特困家庭特别扶助金但凡有扶助政策社区也首先想到她党委书记张公平说徐婆婆很要强从不给社区提要求问她身体怎么样她总说自食其力再累也开心,90,10,"[10, 6, 18, 7, 8, 14, 8, 7, 7, 5]",[10],[[9]],"[[10, 9]]"
90,76岁的英国老妇人格瑞斯·贝茨在英国广播公司BBC帮助下找到分离59年的初恋德国人赫尔曼·博世格瑞斯因曾欺骗对方一直深感愧疚死前一定要见到他,70,4,"[28, 19, 15, 8]",[3],[[3]],"[[3, 3]]"
