section,emo_clause_index,cau_candidate_index,emotion_clause,cause_candidate,correctness
6,6,7,当初获得入户指标的那份欣喜,老吴患上肺癌晚期的噩耗而荡然无存,false
6,6,8,当初获得入户指标的那份欣喜,取而代之的,false
6,6,9,当初获得入户指标的那份欣喜,是他对自己生存期的忧虑,false
6,6,10,当初获得入户指标的那份欣喜,医生的判决是36个月,false
6,6,11,当初获得入户指标的那份欣喜,这意味着,false
6,6,12,当初获得入户指标的那份欣喜,老吴可能等不到妻子随迁入户深圳,false
6,9,1,是他对自己生存期的忧虑,2013年6月,false
6,9,2,是他对自己生存期的忧虑,在深圳打拼10年的吴树梁终于拿到大红的深圳市户口,false
6,9,3,是他对自己生存期的忧虑,儿子吴同也随之迁入深圳,false
6,9,4,是他对自己生存期的忧虑,但妻子丁维清却必须等候吴树梁入户满两年才能随迁,false
6,9,5,是他对自己生存期的忧虑,半年后,false
6,9,6,是他对自己生存期的忧虑,当初获得入户指标的那份欣喜,false
6,9,7,是他对自己生存期的忧虑,老吴患上肺癌晚期的噩耗而荡然无存,false
6,9,8,是他对自己生存期的忧虑,取而代之的,false
6,9,9,是他对自己生存期的忧虑,是他对自己生存期的忧虑,false
6,9,10,是他对自己生存期的忧虑,医生的判决是36个月,false
6,9,11,是他对自己生存期的忧虑,这意味着,false
6,9,12,是他对自己生存期的忧虑,老吴可能等不到妻子随迁入户深圳,true
8,1,1,生不如死是老吴患癌后常有的想法,生不如死是老吴患癌后常有的想法,false
8,1,2,生不如死是老吴患癌后常有的想法,大面积骨转移,true
8,1,3,生不如死是老吴患癌后常有的想法,老吴每天都在剧痛里挣扎,true
8,1,4,生不如死是老吴患癌后常有的想法,从2012年10月到现在,false
8,1,5,生不如死是老吴患癌后常有的想法,老吴已经和晚期肺癌搏斗了30个月,false
8,1,6,生不如死是老吴患癌后常有的想法,这个时间长度,false
8,1,7,生不如死是老吴患癌后常有的想法,比医生最初给他的死亡判决已经超出了近10倍,false
8,1,8,生不如死是老吴患癌后常有的想法,深圳宁养院的医生王劲也感到惊诧,false
8,8,1,深圳宁养院的医生王劲也感到惊诧,生不如死是老吴患癌后常有的想法,false
8,8,2,深圳宁养院的医生王劲也感到惊诧,大面积骨转移,false
8,8,3,深圳宁养院的医生王劲也感到惊诧,老吴每天都在剧痛里挣扎,false
8,8,4,深圳宁养院的医生王劲也感到惊诧,从2012年10月到现在,false
8,8,5,深圳宁养院的医生王劲也感到惊诧,老吴已经和晚期肺癌搏斗了30个月,true
8,8,6,深圳宁养院的医生王劲也感到惊诧,这个时间长度,false
8,8,7,深圳宁养院的医生王劲也感到惊诧,比医生最初给他的死亡判决已经超出了近10倍,true
8,8,8,深圳宁养院的医生王劲也感到惊诧,深圳宁养院的医生王劲也感到惊诧,false
10,5,1,就会有网友担心老吴是不是去了,为了坚持到妻子入户,false
10,5,2,就会有网友担心老吴是不是去了,老吴已经用尽了全力,false
10,5,3,就会有网友担心老吴是不是去了,老吴其抗癌事迹广为人知,false
10,5,4,就会有网友担心老吴是不是去了,如果老吴长时间不更新微博,true
10,5,5,就会有网友担心老吴是不是去了,就会有网友担心老吴是不是去了,false
10,5,6,就会有网友担心老吴是不是去了,2013年底,false
10,5,7,就会有网友担心老吴是不是去了,老吴两个多月没有更新微博,false
10,5,8,就会有网友担心老吴是不是去了,有网友担心地问他近况如何,false
10,5,9,就会有网友担心老吴是不是去了,看到网友的发问,false
10,5,10,就会有网友担心老吴是不是去了,正在经历靶向药耐药性剧痛期的他,false
10,5,11,就会有网友担心老吴是不是去了,还是努力地敲下了四个字活着,false
10,5,12,就会有网友担心老吴是不是去了,活着,false
11,5,1,总之是无奈和心酸,目前全家依靠她两千多元工资生活,false
11,5,2,总之是无奈和心酸,看病已负债累累,true
11,5,3,总之是无奈和心酸,如果我不在了,false
11,5,4,总之是无奈和心酸,妻子没有深圳户籍日子会更难,true
11,5,5,总之是无奈和心酸,总之是无奈和心酸,false
11,5,6,总之是无奈和心酸,但我也很感谢那些帮助我的网友义工宁养院,false
11,5,7,总之是无奈和心酸,还有家人的不离不弃,false
11,5,8,总之是无奈和心酸,我现在只能咬牙继续坚持,false
11,5,9,总之是无奈和心酸,希望能够达成心愿,false
12,7,1,但我也很感谢那些帮助我的网友义工宁养院,目前全家依靠她两千多元工资生活,false
12,7,2,但我也很感谢那些帮助我的网友义工宁养院,看病已负债累累,false
12,7,3,但我也很感谢那些帮助我的网友义工宁养院,如果我不在了,false
12,7,4,但我也很感谢那些帮助我的网友义工宁养院,妻子没有深圳户籍,false
12,7,5,但我也很感谢那些帮助我的网友义工宁养院,日子会更难,false
12,7,6,但我也很感谢那些帮助我的网友义工宁养院,总之是无奈和心酸,false
12,7,7,但我也很感谢那些帮助我的网友义工宁养院,但我也很感谢那些帮助我的网友义工宁养院,true
12,7,8,但我也很感谢那些帮助我的网友义工宁养院,还有家人的不离不弃,true
12,7,9,但我也很感谢那些帮助我的网友义工宁养院,我现在只能咬牙继续坚持,false
12,7,10,但我也很感谢那些帮助我的网友义工宁养院,希望能够达成心愿,false
13,6,1,太没有人性,4月14日下午,false
13,6,2,太没有人性,有微博网友爆料称,false
13,6,3,太没有人性,通州台湖某制药厂内悬挂着数只死猫,false
13,6,4,太没有人性,并配发图片,false
13,6,5,太没有人性,众多网友指责如此虐猫,true
13,6,6,太没有人性,太没有人性,false
13,6,7,太没有人性,还有网友怀疑这是厂方处置流浪猫手段,false
14,2,1,妻子一时激动竟从阳台滑下,老公站在楼栋底下同站在6楼的妻子隔空拌嘴,true
14,2,2,妻子一时激动竟从阳台滑下,妻子一时激动竟从阳台滑下,false
14,2,3,妻子一时激动竟从阳台滑下,但幸运地挂在4楼晒衣架上,false
14,2,4,妻子一时激动竟从阳台滑下,老公立即大喊快抓紧,false
14,2,5,妻子一时激动竟从阳台滑下,我爱你,false
14,2,6,妻子一时激动竟从阳台滑下,妻子被温馨的话语感动,false
14,2,7,妻子一时激动竟从阳台滑下,自救成功,false
14,6,1,妻子被温馨的话语感动,老公站在楼栋底下同站在6楼的妻子隔空拌嘴,false
14,6,2,妻子被温馨的话语感动,妻子一时激动竟从阳台滑下,false
14,6,3,妻子被温馨的话语感动,但幸运地挂在4楼晒衣架上,false
14,6,4,妻子被温馨的话语感动,老公立即大喊快抓紧,false
14,6,5,妻子被温馨的话语感动,我爱你,false
14,6,6,妻子被温馨的话语感动,妻子被温馨的话语感动,true
14,6,7,妻子被温馨的话语感动,自救成功,false
16,5,1,小雯感到诧异,同月19日深夜11时,false
16,5,2,小雯感到诧异,韩男去电给小雯约在一处利店前碰面,false
16,5,3,小雯感到诧异,小雯误认对方是她的邱姓男友而赴约,true
16,5,4,小雯感到诧异,2人见面之后,false
16,5,5,小雯感到诧异,小雯感到诧异,false
16,5,6,小雯感到诧异,却也接受韩男提议,false
16,5,7,小雯感到诧异,在公园内聊天散步,false
16,5,8,小雯感到诧异,没多久韩男竟强拉小雯到厕所企图性侵,false
16,5,9,小雯感到诧异,但小雯反抗而未果,false
16,5,10,小雯感到诧异,韩男再强拉少女到运动场的司令台后方楼梯间性侵得逞,false
17,7,1,张治英心疼不已,五年了,false
17,7,2,张治英心疼不已,孩子一滴尿也没排过,false
17,7,3,张治英心疼不已,每天身上发痒疼痛胸口憋闷换不过气来,false
17,7,4,张治英心疼不已,经常大半夜睡不着觉,false
17,7,5,张治英心疼不已,我就骑摩托车带她出去遛弯,false
17,7,6,张治英心疼不已,看着曾经各方面优异的女儿如今成了这个样子,true
17,7,7,张治英心疼不已,张治英心疼不已,false
17,7,8,张治英心疼不已,在校期间,false
17,7,9,张治英心疼不已,张琼元每次考试都是前三名,false
17,7,10,张治英心疼不已,多年来,false
17,7,11,张治英心疼不已,一直担任班干部,false
18,2,1,张治英还给女儿买不起大碗面自责不已,直到现在,false
18,2,2,张治英还给女儿买不起大碗面自责不已,张治英还给女儿买不起大碗面自责不已,true
19,6,1,可张治英却怎么也高兴不起来,前段时间,false
19,6,2,可张治英却怎么也高兴不起来,在北京大学人民医院治疗时的大夫打来电话询问了琼元的病情后,false
19,6,3,可张治英却怎么也高兴不起来,说孩子还有希望,false
19,6,4,可张治英却怎么也高兴不起来,建议做换肾手术,false
19,6,5,可张治英却怎么也高兴不起来,希望近在眼前,false
19,6,6,可张治英却怎么也高兴不起来,可张治英却怎么也高兴不起来,false
19,6,7,可张治英却怎么也高兴不起来,张琼元并不是他的亲生女儿,true
19,6,8,可张治英却怎么也高兴不起来,在一次检查中,false
19,6,9,可张治英却怎么也高兴不起来,张琼元得知自己是O型血,false
19,6,10,可张治英却怎么也高兴不起来,而父亲是A型,false
19,6,11,可张治英却怎么也高兴不起来,母亲是AB型时,false
19,6,12,可张治英却怎么也高兴不起来,聪明的她瞬间明白了其中的意味,false
20,7,1,张治英泣不成声,瞒不住了,false
20,7,2,张治英泣不成声,张治英问她想不想看望亲生父母,false
20,7,3,张治英泣不成声,张琼元哭着说我是你们的女儿,false
20,7,4,张治英泣不成声,看着懂事的女儿每天被病痛折磨着,false
20,7,5,张治英泣不成声,自己却不能为她捐肾,false
20,7,6,张治英泣不成声,想到自己无能为力,true
20,7,7,张治英泣不成声,张治英泣不成声,false
21,8,1,陈大爷终于笑了,民警将老人送到南钢厂区,false
21,8,2,陈大爷终于笑了,问了半天,false
21,8,3,陈大爷终于笑了,陈大爷也没有说清楚他家到底该怎么走,false
21,8,4,陈大爷终于笑了,无奈之下,false
21,8,5,陈大爷终于笑了,民警只能下车逐一询问附近的居民,false
21,8,6,陈大爷终于笑了,最终把陈大爷安全送回家,false
21,8,7,陈大爷终于笑了,到家后,true
21,8,8,陈大爷终于笑了,陈大爷终于笑了,false
21,8,9,陈大爷终于笑了,连声对民警道谢,false
21,8,10,陈大爷终于笑了,还热情挽留民警在家吃晚饭,false
21,8,11,陈大爷终于笑了,但被民警婉言谢绝,false
22,3,1,周围路过的多位居民都对她表示了赞扬,对于鲁女士遇见老人跌倒立刻出手相助,true
22,3,2,周围路过的多位居民都对她表示了赞扬,还陪着老人一起等民警的行为,false
22,3,3,周围路过的多位居民都对她表示了赞扬,周围路过的多位居民都对她表示了赞扬,false
22,3,4,周围路过的多位居民都对她表示了赞扬,出警的民警也告诉记者,false
22,3,5,周围路过的多位居民都对她表示了赞扬,跌倒的老人真的需要有人帮助,false
22,3,6,周围路过的多位居民都对她表示了赞扬,否则可能会发生二次事,false
22,3,7,周围路过的多位居民都对她表示了赞扬,扶老人而被讹的事情是极少数的,false
23,4,1,让人尊敬,在老一辈村民的记忆里,false
23,4,2,让人尊敬,谢德友镇定自若为溺亡村民黄某入殓的场景,true
23,4,3,让人尊敬,时隔多年仍历历在目,false
23,4,4,让人尊敬,让人尊敬,false
24,8,1,再次丈夫撒手人寰而陷入无限绝望中,眼前厚厚几沓病历相册证件,false
24,8,2,再次丈夫撒手人寰而陷入无限绝望中,白纸黑字如此刺眼绝望,false
24,8,3,再次丈夫撒手人寰而陷入无限绝望中,才敢相信她安静克制的脸庞下,false
24,8,4,再次丈夫撒手人寰而陷入无限绝望中,曾承受住多少次命运的陡然翻转,false
24,8,5,再次丈夫撒手人寰而陷入无限绝望中,自从17岁儿子病逝去,false
24,8,6,再次丈夫撒手人寰而陷入无限绝望中,丈夫与她领养了一个女儿,false
24,8,7,再次丈夫撒手人寰而陷入无限绝望中,刚树立起的生活希望,false
24,8,8,再次丈夫撒手人寰而陷入无限绝望中,再次丈夫撒手人寰而陷入无限绝望中,true
25,9,1,李芳痛不欲生,李芳抹着眼泪告诉小溪,false
25,9,2,李芳痛不欲生,2002年,false
25,9,3,李芳痛不欲生,她的儿子逝去了,false
25,9,4,李芳痛不欲生,儿子才17岁,false
25,9,5,李芳痛不欲生,活泼好动,false
25,9,6,李芳痛不欲生,热爱篮球,false
25,9,7,李芳痛不欲生,但是高二体检查出脑瘤,true
25,9,8,李芳痛不欲生,很快就不行了,true
25,9,9,李芳痛不欲生,李芳痛不欲生,false
25,9,10,李芳痛不欲生,捡起一把刀就想割脉自杀,false
26,5,1,再三确认后真的非常非常感动,上上周,false
26,5,2,再三确认后真的非常非常感动,安德烈突然找到我,false
26,5,3,再三确认后真的非常非常感动,说想要在医院举行婚礼,true
26,5,4,再三确认后真的非常非常感动,我先是吓了一跳,false
26,5,5,再三确认后真的非常非常感动,再三确认后真的非常非常感动,false
26,5,6,再三确认后真的非常非常感动,医院的俄语翻译小董说,false
26,5,7,再三确认后真的非常非常感动,很多人可能以为只是举行婚礼,false
26,5,8,再三确认后真的非常非常感动,安慰安慰塔蒂亚娜,false
26,5,9,再三确认后真的非常非常感动,但他们是真的结婚并领了证,false
26,5,10,再三确认后真的非常非常感动,女方已经改了夫姓,false
26,5,11,再三确认后真的非常非常感动,小董称,false
26,5,12,再三确认后真的非常非常感动,消息一传出,false
26,5,13,再三确认后真的非常非常感动,医护人员感动不已,false
26,5,14,再三确认后真的非常非常感动,连医院后勤的工作人员都自发进行捐助,false
27,14,1,看着沟胁千年着急的样子,1952年夏,false
27,14,2,看着沟胁千年着急的样子,她和另7名日籍护士,false
27,14,3,看着沟胁千年着急的样子,从广西南宁军区303医院调到羊楼洞部队疗养所,false
27,14,4,看着沟胁千年着急的样子,羊楼洞地处湘鄂交界之要冲,false
27,14,5,看着沟胁千年着急的样子,就在这里,false
27,14,6,看着沟胁千年着急的样子,沟胁千年和当时患结核病正在此疗养的杜江群结识,false
27,14,7,看着沟胁千年着急的样子,29岁的杜江群是一所学校的政治教员,false
27,14,8,看着沟胁千年着急的样子,曾有过地下党经历,false
27,14,9,看着沟胁千年着急的样子,虽然病重,false
27,14,10,看着沟胁千年着急的样子,却依然乐观,false
27,14,11,看着沟胁千年着急的样子,当时,false
27,14,12,看着沟胁千年着急的样子,不少病员都排斥外籍护士的照料,true
27,14,13,看着沟胁千年着急的样子,态度甚至粗暴,true
27,14,14,看着沟胁千年着急的样子,看着沟胁千年着急的样子,false
27,14,15,看着沟胁千年着急的样子,杜江群站了出来,false
27,14,16,看着沟胁千年着急的样子,说服伤员,false
27,14,17,看着沟胁千年着急的样子,让他安心地接受治疗,false
28,7,1,张崇贞以她的品格赢得了所有人的敬重,不仅是对尹家的3个孩子,false
28,7,2,张崇贞以她的品格赢得了所有人的敬重,在街坊邻居中,false
28,7,3,张崇贞以她的品格赢得了所有人的敬重,张崇贞也有着他人不能及的好名声,false
28,7,4,张崇贞以她的品格赢得了所有人的敬重,任何人家需要帮忙,false
28,7,5,张崇贞以她的品格赢得了所有人的敬重,她总是一口答应,false
28,7,6,张崇贞以她的品格赢得了所有人的敬重,几十年里,false
28,7,7,张崇贞以她的品格赢得了所有人的敬重,张崇贞以她的品格赢得了所有人的敬重,true
28,7,8,张崇贞以她的品格赢得了所有人的敬重,尹春丽的母亲也早已将这位比她年长三十来岁的保姆,false
28,7,9,张崇贞以她的品格赢得了所有人的敬重,视为自己的亲生母亲,false
28,7,10,张崇贞以她的品格赢得了所有人的敬重,我妈妈后来将所有的钱都放在奶奶那里,false
28,7,11,张崇贞以她的品格赢得了所有人的敬重,她当家,false
28,7,12,张崇贞以她的品格赢得了所有人的敬重,她才是我们家的最高权威,false
29,18,1,不仅是悲伤也有欣慰,2010年,false
29,18,2,不仅是悲伤也有欣慰,母亲去世,false
29,18,3,不仅是悲伤也有欣慰,尹家的3个孩子将母亲和奶奶正式合葬,false
29,18,4,不仅是悲伤也有欣慰,墓碑后,false
29,18,5,不仅是悲伤也有欣慰,刻着这么一行字,false
29,18,6,不仅是悲伤也有欣慰,先恩祖慈张崇贞,false
29,18,7,不仅是悲伤也有欣慰,与先恩萍水相逢,false
29,18,8,不仅是悲伤也有欣慰,半生相伴,false
29,18,9,不仅是悲伤也有欣慰,同甘苦共患难,false
29,18,10,不仅是悲伤也有欣慰,恩比天高,false
29,18,11,不仅是悲伤也有欣慰,情同水长,false
29,18,12,不仅是悲伤也有欣慰,合葬时的景象,false
29,18,13,不仅是悲伤也有欣慰,尹春丽记忆犹新,false
29,18,14,不仅是悲伤也有欣慰,两人骨灰葬下去的一瞬间,false
29,18,15,不仅是悲伤也有欣慰,我似乎回到了过往,false
29,18,16,不仅是悲伤也有欣慰,看到她们并肩扛起这个家的情景,true
29,18,17,不仅是悲伤也有欣慰,我很想流泪,false
29,18,18,不仅是悲伤也有欣慰,不仅是悲伤也有欣慰,false
30,8,1,朱洪生很是自豪,朱洪生今年55岁,false
30,8,2,朱洪生很是自豪,1979年参加工作时才19岁,false
30,8,3,朱洪生很是自豪,已有36年的手艺,false
30,8,4,朱洪生很是自豪,我当时被分到丹阳南京理发店工作,false
30,8,5,朱洪生很是自豪,这是当时丹阳最大的理发店,false
30,8,6,朱洪生很是自豪,我在那儿获得了好多证书和荣誉,false
30,8,7,朱洪生很是自豪,说起自己工作过的地方和自己的荣誉,true
30,8,8,朱洪生很是自豪,朱洪生很是自豪,false
31,1,1,让朱洪生感动的是,让朱洪生感动的是,false
31,1,2,让朱洪生感动的是,有些客人他收费宜都为他着想,true
31,1,3,让朱洪生感动的是,剪完头发就走了也不洗,false
31,1,4,让朱洪生感动的是,就为能帮他省点水电费,false
31,1,5,让朱洪生感动的是,回家反正洗澡,false
31,1,6,让朱洪生感动的是,收费这么宜,false
31,1,7,让朱洪生感动的是,就不麻烦他洗头了,false
31,1,8,让朱洪生感动的是,昨天理完发后站起身来就付钱的史阿姨笑着说,false
31,1,9,让朱洪生感动的是,我这里的客人都蛮好的,false
31,1,10,让朱洪生感动的是,有的并不是价格低才来的,false
31,1,11,让朱洪生感动的是,他们认可我了,false
31,1,12,让朱洪生感动的是,朱洪生告诉记者,false
31,1,13,让朱洪生感动的是,有的老邻居搬家去别的地方,false
31,1,14,让朱洪生感动的是,但是理发还是找他,false
32,4,1,让郭惠英感动的是,经抢救,false
32,4,2,让郭惠英感动的是,两个孩子和周先生先后苏醒脱离了危险,false
32,4,3,让郭惠英感动的是,但郭惠英一直抢救到第二天凌晨才苏醒,false
32,4,4,让郭惠英感动的是,让郭惠英感动的是,false
32,4,5,让郭惠英感动的是,她醒来时,false
32,4,6,让郭惠英感动的是,还有一位民警守在身边,true
33,5,1,郭惠英17年来的这份举动让大家很感动,保护人民生命财产安全,false
33,5,2,郭惠英17年来的这份举动让大家很感动,本身就是我们警察的责任,false
33,5,3,郭惠英17年来的这份举动让大家很感动,是我们理所应当做的事情,false
33,5,4,郭惠英17年来的这份举动让大家很感动,毛大队长说,false
33,5,5,郭惠英17年来的这份举动让大家很感动,郭惠英17年来的这份举动让大家很感动,true
33,5,6,郭惠英17年来的这份举动让大家很感动,更感到自身责任重大,false
33,5,7,郭惠英17年来的这份举动让大家很感动,使命光荣,false
34,2,1,我很感动,不是自己的儿子老程还能这样,true
34,2,2,我很感动,我很感动,false
34,2,3,我很感动,俺既然是老乡,false
34,2,4,我很感动,就得帮他,false
34,2,5,我很感动,朱俊钦说,false
34,2,6,我很感动,他的加入让程相前轻松了不少,false
34,2,7,我很感动,如今给宋文山洗澡,false
34,2,8,我很感动,都是两人一起架着他洗,false
35,8,1,刘名书看到母亲的照片很激动,老人说,false
35,8,2,刘名书看到母亲的照片很激动,58年来自己也一直想寻找女儿刘名书,false
35,8,3,刘名书看到母亲的照片很激动,但失散时她连女儿的名字都不知道,false
35,8,4,刘名书看到母亲的照片很激动,更谈不上寻找,false
35,8,5,刘名书看到母亲的照片很激动,目前,false
35,8,6,刘名书看到母亲的照片很激动,雷红路和小姨通过微信,false
35,8,7,刘名书看到母亲的照片很激动,交换了外婆和母亲的照片,false
35,8,8,刘名书看到母亲的照片很激动,刘名书看到母亲的照片很激动,true
35,8,9,刘名书看到母亲的照片很激动,她说这事我跟丈夫说过,false
35,8,10,刘名书看到母亲的照片很激动,跟大儿子说过,false
35,8,11,刘名书看到母亲的照片很激动,结果小儿子帮我找到了母亲,false
35,8,12,刘名书看到母亲的照片很激动,她也让儿子雷红路向陈警官表示感谢,false
36,6,1,心里还是挺高兴的,谈到成名所带来的变化时,false
36,6,2,心里还是挺高兴的,余秀华说收入的增多是的,false
36,6,3,心里还是挺高兴的,之前对出名没有期待,false
36,6,4,心里还是挺高兴的,但它真的来了,false
36,6,5,心里还是挺高兴的,而且让生活过得更好,true
36,6,6,心里还是挺高兴的,心里还是挺高兴的,false
36,6,7,心里还是挺高兴的,但这在村里没有太大影响,false
36,6,8,心里还是挺高兴的,老乡还是把我看成余秀华,false
36,6,9,心里还是挺高兴的,没有把我看成是怪物,false
37,6,1,感动了无数人,为国教子,false
37,6,2,感动了无数人,以德育人,false
37,6,3,感动了无数人,盲人夫妇演绎现实版孟母三迁,true
37,6,4,感动了无数人,为孩子成长创造环境的事,false
37,6,5,感动了无数人,在蛟河市传开后,false
37,6,6,感动了无数人,感动了无数人,false
37,6,7,感动了无数人,庄保清也获得了吉林省十佳好家长全国传承好家风好妈好爸等荣誉称号,false
38,3,1,感觉天都要塌了,34岁的王志刚在去年四月被检查出患有慢性肾衰竭,false
38,3,2,感觉天都要塌了,这一检测结果打破了原本幸福的三口之家,false
38,3,3,感觉天都要塌了,感觉天都要塌了,false
38,3,4,感觉天都要塌了,徐萍这样来形容得知丈夫患病时的感受,false
38,3,5,感觉天都要塌了,丈夫是她和两岁孩子的支柱,true
39,4,1,他十分感动,她身体就不好,false
39,4,2,他十分感动,娃娃也要人照顾,false
39,4,3,他十分感动,张志刚得知妻子要捐肾给自己时,true
39,4,4,他十分感动,他十分感动,false
39,4,5,他十分感动,同时也非常担心,false
39,4,6,他十分感动,好在17日夫妻俩在四川大学华西医院的手术非常顺利,false
39,5,1,同时也非常担心,她身体就不好,false
39,5,2,同时也非常担心,娃娃也要人照顾,false
39,5,3,同时也非常担心,张志刚得知妻子要捐肾给自己时,true
39,5,4,同时也非常担心,他十分感动,false
39,5,5,同时也非常担心,同时也非常担心,false
39,5,6,同时也非常担心,好在17日夫妻俩在四川大学华西医院的手术非常顺利,false
41,13,1,当时我娘我嫂子都哭昏过去了,翟金华介绍,false
41,13,2,当时我娘我嫂子都哭昏过去了,哥哥当兵走的时候还是解放前,false
41,13,3,当时我娘我嫂子都哭昏过去了,那时自己才15岁,false
41,13,4,当时我娘我嫂子都哭昏过去了,不懂事,false
41,13,5,当时我娘我嫂子都哭昏过去了,再加上时间过去很久了,false
41,13,6,当时我娘我嫂子都哭昏过去了,很多事情自己都记不得了,false
41,13,7,当时我娘我嫂子都哭昏过去了,我只记得他走后不久我奶奶还骑着小毛驴,false
41,13,8,当时我娘我嫂子都哭昏过去了,带着我去他参军后暂时驻扎的村庄看他,false
41,13,9,当时我娘我嫂子都哭昏过去了,后来就再也没有音讯了,false
41,13,10,当时我娘我嫂子都哭昏过去了,直到1952年,false
41,13,11,当时我娘我嫂子都哭昏过去了,民政部门送到家里一个烈士证,false
41,13,12,当时我娘我嫂子都哭昏过去了,说我哥死在朝鲜了,true
41,13,13,当时我娘我嫂子都哭昏过去了,当时我娘我嫂子都哭昏过去了,false
42,5,1,真的是皆大欢喜,中国人自古有落叶归根的传统,false
42,5,2,真的是皆大欢喜,63年来,false
42,5,3,真的是皆大欢喜,我日夜都想有朝一日能找到父亲的安葬地,false
42,5,4,真的是皆大欢喜,如果能和父亲团聚,true
42,5,5,真的是皆大欢喜,真的是皆大欢喜,false
42,5,6,真的是皆大欢喜,同时,false
42,5,7,真的是皆大欢喜,记者与周玉玺烈士的孙女周女士取得了联系,false
42,5,8,真的是皆大欢喜,周女士说,false
