key,conn,conn_head_sem_class,frequency,conn_total_count
and+Contingency.Cause.Result,and,Contingency.Cause.Result,182,4477
therefore+Contingency.Cause.Result,therefore,Contingency.Cause.Result,140,142
or+Expansion.Alternative.Disjunctive,or,Expansion.Alternative.Disjunctive,12,111
although+Comparison,although,Comparison,34,536
instead+Expansion.Alternative.Chosen alternative,instead,Expansion.Alternative.Chosen alternative,213,253
however+Comparison.Contrast,however,Comparison.Contrast,647,1201
though+Comparison.Concession.Contra-expectation,though,Comparison.Concession.Contra-expectation,45,325
rather+Comparison.Contrast,rather,Comparison.Contrast,33,153
indeed+Expansion.Restatement,indeed,Expansion.Restatement,73,505
as+Temporal.Synchrony,as,Temporal.Synchrony,570,1370
until+Temporal.Asynchronous.Precedence,until,Temporal.Asynchronous.Precedence,133,164
if+Contingency.Condition.General,if,Contingency.Condition.General,178,1234
as+Contingency.Cause.Reason,as,Contingency.Cause.Reason,684,1370
when+Comparison.Contrast.Juxtaposition,when,Comparison.Contrast.Juxtaposition,1,1215
nonetheless+Comparison,nonetheless,Comparison,5,34
unless+Expansion.Alternative.Disjunctive,unless,Expansion.Alternative.Disjunctive,94,95
meanwhile+Temporal.Synchrony,meanwhile,Temporal.Synchrony,269,655
but+Comparison.Contrast.Opposition,but,Comparison.Contrast.Opposition,216,4102
yet+Comparison.Concession.Contra-expectation,yet,Comparison.Concession.Contra-expectation,35,109
however+Comparison.Contrast.Juxtaposition,however,Comparison.Contrast.Juxtaposition,209,1201
because+Expansion.Restatement.Specification,because,Expansion.Restatement.Specification,56,2847
whereas+Comparison.Contrast,whereas,Comparison.Contrast,21,82
though+Comparison.Contrast.Juxtaposition,though,Comparison.Contrast.Juxtaposition,47,325
when+Contingency.Condition.General,when,Contingency.Condition.General,164,1215
however+Comparison.Concession.Contra-expectation,however,Comparison.Concession.Contra-expectation,132,1201
and+Expansion.List,and,Expansion.List,563,4477
if+Contingency.Pragmatic condition.Relevance,if,Contingency.Pragmatic condition.Relevance,20,1234
since+Temporal.Asynchronous.Succession,since,Temporal.Asynchronous.Succession,88,415
but+Comparison,but,Comparison,321,4102
since+Contingency.Cause.Reason,since,Contingency.Cause.Reason,309,415
after+Contingency.Cause.Reason,after,Contingency.Cause.Reason,59,651
earlier+Temporal.Asynchronous.Succession,earlier,Temporal.Asynchronous.Succession,40,41
but+Expansion.Conjunction,but,Expansion.Conjunction,136,4102
still+Comparison.Contrast,still,Comparison.Contrast,72,203
if+Contingency.Condition.Unreal present,if,Contingency.Condition.Unreal present,122,1234
then+Expansion.Conjunction,then,Expansion.Conjunction,17,760
when+Contingency.Cause.Reason,when,Contingency.Cause.Reason,111,1215
rather+Expansion.Alternative.Chosen alternative,rather,Expansion.Alternative.Chosen alternative,68,153
yet+Comparison,yet,Comparison,13,109
indeed+Expansion.Restatement.Generalization,indeed,Expansion.Restatement.Generalization,23,505
then+Contingency.Cause.Result,then,Contingency.Cause.Result,18,760
similarly+Expansion.Conjunction,similarly,Expansion.Conjunction,83,86
first+Expansion.List,first,Expansion.List,8,27
then+Expansion.List,then,Expansion.List,5,760
but+Comparison.Concession.Contra-expectation,but,Comparison.Concession.Contra-expectation,563,4102
then+Expansion.Restatement.Specification,then,Expansion.Restatement.Specification,5,760
similarly+Expansion,similarly,Expansion,1,86
if+Contingency.Pragmatic condition.Implicit assertion,if,Contingency.Pragmatic condition.Implicit assertion,29,1234
then+Comparison.Contrast,then,Comparison.Contrast,2,760
simultaneously+Temporal.Synchrony,simultaneously,Temporal.Synchrony,9,10
although+Comparison.Concession.Contra-expectation,although,Comparison.Concession.Contra-expectation,45,536
when+Temporal,when,Temporal,8,1215
indeed+Expansion.Conjunction,indeed,Expansion.Conjunction,174,505
indeed+Contingency.Pragmatic cause.Justification,indeed,Contingency.Pragmatic cause.Justification,9,505
because+Contingency.Pragmatic cause.Justification,because,Contingency.Pragmatic cause.Justification,39,2847
indeed+Expansion.Restatement.Equivalence,indeed,Expansion.Restatement.Equivalence,39,505
meanwhile+Comparison.Contrast.Juxtaposition,meanwhile,Comparison.Contrast.Juxtaposition,53,655
when+Temporal.Asynchronous.Succession,when,Temporal.Asynchronous.Succession,240,1215
further+Expansion.Conjunction,further,Expansion.Conjunction,66,67
later+Temporal.Asynchronous.Precedence,later,Temporal.Asynchronous.Precedence,103,106
ultimately+Expansion.Conjunction,ultimately,Expansion.Conjunction,6,51
ultimately+Temporal.Asynchronous.Precedence,ultimately,Temporal.Asynchronous.Precedence,21,51
meanwhile+Temporal,meanwhile,Temporal,3,655
regardless+Comparison.Contrast,regardless,Comparison.Contrast,2,4
if+Contingency.Condition.Unreal past,if,Contingency.Condition.Unreal past,53,1234
while+Temporal,while,Temporal,2,1550
first+Expansion.Restatement.Specification,first,Expansion.Restatement.Specification,13,27
indeed+Expansion.Restatement.Specification,indeed,Expansion.Restatement.Specification,146,505
furthermore+Comparison.Contrast,furthermore,Comparison.Contrast,1,358
or+Expansion.Conjunction,or,Expansion.Conjunction,5,111
likewise+Expansion.Conjunction,likewise,Expansion.Conjunction,26,26
hence+Contingency.Cause.Result,hence,Contingency.Cause.Result,17,18
if+Comparison.Concession.Expectation,if,Comparison.Concession.Expectation,38,1234
but+Comparison.Pragmatic contrast,but,Comparison.Pragmatic contrast,32,4102
if+Contingency.Condition.Factual present,if,Contingency.Condition.Factual present,76,1234
nevertheless+Comparison.Concession.Contra-expectation,nevertheless,Comparison.Concession.Contra-expectation,32,72
rather+Expansion.Restatement.Specification,rather,Expansion.Restatement.Specification,37,153
while+Comparison.Contrast.Opposition,while,Comparison.Contrast.Opposition,108,1550
now+Temporal.Asynchronous.Precedence,now,Temporal.Asynchronous.Precedence,1,1
specifically+Contingency.Cause.Reason,specifically,Contingency.Cause.Reason,2,1177
but+Temporal.Asynchronous.Precedence,but,Temporal.Asynchronous.Precedence,11,4102
once+Contingency.Condition.Hypothetical,once,Contingency.Condition.Hypothetical,3,95
whereas+Comparison.Contrast.Juxtaposition,whereas,Comparison.Contrast.Juxtaposition,45,82
consequently+Temporal.Asynchronous.Precedence,consequently,Temporal.Asynchronous.Precedence,1,204
thus+Temporal.Asynchronous.Precedence,thus,Temporal.Asynchronous.Precedence,1,297
indeed+Comparison,indeed,Comparison,1,505
afterward+Temporal.Asynchronous.Precedence,afterward,Temporal.Asynchronous.Precedence,11,11
instead+Comparison.Contrast,instead,Comparison.Contrast,29,253
overall+Expansion.Restatement,overall,Expansion.Restatement,10,43
next+Temporal.Asynchronous.Precedence,next,Temporal.Asynchronous.Precedence,15,16
additionally+Expansion.Conjunction,additionally,Expansion.Conjunction,20,20
since+Expansion.Instantiation,since,Expansion.Instantiation,2,415
when+Comparison.Concession.Expectation,when,Comparison.Concession.Expectation,12,1215
yet+Comparison.Contrast.Juxtaposition,yet,Comparison.Contrast.Juxtaposition,22,109
while+Comparison.Concession.Expectation,while,Comparison.Concession.Expectation,82,1550
nor+Expansion.Conjunction,nor,Expansion.Conjunction,26,33
whereas+Comparison.Contrast.Opposition,whereas,Comparison.Contrast.Opposition,12,82
as+Contingency.Pragmatic cause.Justification,as,Contingency.Pragmatic cause.Justification,20,1370
alternatively+Expansion.Alternative.Disjunctive,alternatively,Expansion.Alternative.Disjunctive,4,6
ultimately+Expansion.Restatement,ultimately,Expansion.Restatement,8,51
or+Contingency.Pragmatic condition.Implicit assertion,or,Contingency.Pragmatic condition.Implicit assertion,2,111
afterwards+Temporal.Asynchronous.Precedence,afterwards,Temporal.Asynchronous.Precedence,4,4
rather+Comparison.Contrast.Juxtaposition,rather,Comparison.Contrast.Juxtaposition,6,153
nonetheless+Expansion.Conjunction,nonetheless,Expansion.Conjunction,1,34
because+Expansion.Instantiation,because,Expansion.Instantiation,29,2847
indeed+Expansion,indeed,Expansion,18,505
although+Expansion.Conjunction,although,Expansion.Conjunction,3,536
still+Temporal.Synchrony,still,Temporal.Synchrony,1,203
yet+Comparison.Contrast,yet,Comparison.Contrast,28,109
moreover+Expansion.Restatement.Specification,moreover,Expansion.Restatement.Specification,1,191
although+Comparison.Contrast.Juxtaposition,although,Comparison.Contrast.Juxtaposition,61,536
when+Temporal.Asynchronous.Precedence,when,Temporal.Asynchronous.Precedence,7,1215
specifically+Expansion.Restatement,specifically,Expansion.Restatement,1,1177
after+Comparison.Concession.Expectation,after,Comparison.Concession.Expectation,3,651
till+Temporal.Asynchronous.Precedence,till,Temporal.Asynchronous.Precedence,3,3
finally+Temporal.Asynchronous.Precedence,finally,Temporal.Asynchronous.Precedence,23,51
otherwise+Expansion.Alternative.Disjunctive,otherwise,Expansion.Alternative.Disjunctive,21,24
until+Contingency.Condition.Hypothetical,until,Contingency.Condition.Hypothetical,18,164
still+Comparison.Contrast.Juxtaposition,still,Comparison.Contrast.Juxtaposition,25,203
although+Expansion.Restatement.Specification,although,Expansion.Restatement.Specification,3,536
or+Expansion.Alternative,or,Expansion.Alternative,35,111
nevertheless+Expansion.Conjunction,nevertheless,Expansion.Conjunction,2,72
since+Temporal.Asynchronous.Precedence,since,Temporal.Asynchronous.Precedence,1,415
while+Expansion.List,while,Expansion.List,24,1550
thereby+Contingency.Cause.Result,thereby,Contingency.Cause.Result,12,12
nevertheless+Comparison.Contrast.Juxtaposition,nevertheless,Comparison.Contrast.Juxtaposition,9,72
subsequently+Temporal.Asynchronous.Precedence,subsequently,Temporal.Asynchronous.Precedence,45,50
nonetheless+Comparison.Concession.Contra-expectation,nonetheless,Comparison.Concession.Contra-expectation,20,34
when+Contingency.Condition.Hypothetical,when,Contingency.Condition.Hypothetical,23,1215
and+Comparison.Contrast,and,Comparison.Contrast,5,4477
as+Expansion.Conjunction,as,Expansion.Conjunction,15,1370
although+Comparison.Concession,although,Comparison.Concession,5,536
consequently+Temporal.Synchrony,consequently,Temporal.Synchrony,1,204
if+Contingency.Condition.Factual past,if,Contingency.Condition.Factual past,9,1234
finally+Contingency.Cause.Result,finally,Contingency.Cause.Result,3,51
also+Expansion.List,also,Expansion.List,12,2206
furthermore+Contingency.Cause.Reason,furthermore,Contingency.Cause.Reason,1,358
meantime+Temporal.Synchrony,meantime,Temporal.Synchrony,12,18
also+Expansion.Alternative.Conjunctive,also,Expansion.Alternative.Conjunctive,1,2206
nor+Expansion.Alternative,nor,Expansion.Alternative,2,33
nor+Expansion.Alternative.Conjunctive,nor,Expansion.Alternative.Conjunctive,4,33
although+Expansion.Instantiation,although,Expansion.Instantiation,1,536
later+Expansion.Conjunction,later,Expansion.Conjunction,3,106
ultimately+Expansion,ultimately,Expansion,4,51
ultimately+Temporal.Asynchronous.Succession,ultimately,Temporal.Asynchronous.Succession,1,51
finally+Expansion.List,finally,Expansion.List,9,51
while+Comparison.Concession.Contra-expectation,while,Comparison.Concession.Contra-expectation,4,1550
and+Expansion.Restatement.Specification,and,Expansion.Restatement.Specification,7,4477
however+Expansion.Conjunction,however,Expansion.Conjunction,18,1201
so+Expansion.Conjunction,so,Expansion.Conjunction,5,1079
so+Expansion.Alternative.Chosen alternative,so,Expansion.Alternative.Chosen alternative,2,1079
because+Expansion.Conjunction,because,Expansion.Conjunction,7,2847
if+Comparison.Concession.Contra-expectation,if,Comparison.Concession.Contra-expectation,7,1234
specifically+Expansion.Instantiation,specifically,Expansion.Instantiation,25,1177
regardless+Comparison.Concession.Contra-expectation,regardless,Comparison.Concession.Contra-expectation,2,4
overall+Expansion,overall,Expansion,1,43
yet+Comparison.Contrast.Opposition,yet,Comparison.Contrast.Opposition,6,109
although+Expansion.List,although,Expansion.List,1,536
rather+Comparison.Contrast.Opposition,rather,Comparison.Contrast.Opposition,3,153
thus+Expansion.Instantiation,thus,Expansion.Instantiation,2,297
thereafter+Temporal.Asynchronous.Precedence,thereafter,Temporal.Asynchronous.Precedence,12,14
specifically+Expansion,specifically,Expansion,1,1177
and+Temporal.Asynchronous.Precedence,and,Temporal.Asynchronous.Precedence,43,4477
however+Comparison.Contrast.Opposition,however,Comparison.Contrast.Opposition,59,1201
although+Comparison.Contrast.Opposition,although,Comparison.Contrast.Opposition,11,536
indeed+Contingency.Cause.Reason,indeed,Contingency.Cause.Reason,7,505
separately+Temporal.Synchrony,separately,Temporal.Synchrony,2,81
unless+Contingency.Condition.Hypothetical,unless,Contingency.Condition.Hypothetical,1,95
and+Temporal.Synchrony,and,Temporal.Synchrony,6,4477
and+Comparison.Contrast.Opposition,and,Comparison.Contrast.Opposition,7,4477
as+Temporal.Asynchronous.Succession,as,Temporal.Asynchronous.Succession,27,1370
ultimately+Contingency.Cause.Reason,ultimately,Contingency.Cause.Reason,1,51
meanwhile+Comparison.Contrast.Opposition,meanwhile,Comparison.Contrast.Opposition,11,655
meanwhile+Expansion.List,meanwhile,Expansion.List,12,655
when+Expansion.Restatement.Specification,when,Expansion.Restatement.Specification,8,1215
thus+Expansion.Restatement.Specification,thus,Expansion.Restatement.Specification,6,297
except+Expansion.Exception,except,Expansion.Exception,9,10
although+Expansion.Exception,although,Expansion.Exception,1,536
as+Expansion.Instantiation,as,Expansion.Instantiation,6,1370
rather+Expansion.Restatement.Equivalence,rather,Expansion.Restatement.Equivalence,1,153
specifically+Expansion.Conjunction,specifically,Expansion.Conjunction,7,1177
indeed+Expansion.Instantiation,indeed,Expansion.Instantiation,11,505
since+Expansion.Restatement.Specification,since,Expansion.Restatement.Specification,8,415
ultimately+Expansion.Restatement.Generalization,ultimately,Expansion.Restatement.Generalization,2,51
instead+Expansion.Instantiation,instead,Expansion.Instantiation,1,253
however+Temporal.Asynchronous.Succession,however,Temporal.Asynchronous.Succession,2,1201
first+Expansion.Instantiation,first,Expansion.Instantiation,1,27
indeed+Temporal.Asynchronous.Succession,indeed,Temporal.Asynchronous.Succession,1,505
still+Comparison,still,Comparison,9,203
specifically+Expansion.Restatement.Equivalence,specifically,Expansion.Restatement.Equivalence,4,1177
rather+Expansion.Exception,rather,Expansion.Exception,1,153
overall+Expansion.Conjunction,overall,Expansion.Conjunction,15,43
subsequently+Temporal.Asynchronous.Succession,subsequently,Temporal.Asynchronous.Succession,1,50
lest+Contingency.Condition.Hypothetical,lest,Contingency.Condition.Hypothetical,1,2
first+Temporal.Asynchronous.Succession,first,Temporal.Asynchronous.Succession,1,27
if+Contingency.Condition,if,Contingency.Condition,2,1234
as+Expansion.Restatement.Specification,as,Expansion.Restatement.Specification,32,1370
soon+Temporal.Asynchronous.Precedence,soon,Temporal.Asynchronous.Precedence,1,1
finally+Expansion.Conjunction,finally,Expansion.Conjunction,13,51
but+Expansion.Exception,but,Expansion.Exception,2,4102
furthermore+Contingency.Cause.Result,furthermore,Contingency.Cause.Result,1,358
because+Temporal.Asynchronous.Succession,because,Temporal.Asynchronous.Succession,4,2847
nonetheless+Comparison.Contrast,nonetheless,Comparison.Contrast,5,34
thereafter+Temporal.Asynchronous.Succession,thereafter,Temporal.Asynchronous.Succession,1,14
since+Contingency.Pragmatic cause.Justification,since,Contingency.Pragmatic cause.Justification,5,415
and+Temporal.Asynchronous.Succession,and,Temporal.Asynchronous.Succession,1,4477
whereas+Temporal.Asynchronous.Precedence,whereas,Temporal.Asynchronous.Precedence,1,82
so+Comparison.Contrast,so,Comparison.Contrast,1,1079
until+Temporal.Asynchronous.Succession,until,Temporal.Asynchronous.Succession,7,164
conversely+Comparison.Contrast,conversely,Comparison.Contrast,2,2
also+Temporal.Synchrony,also,Temporal.Synchrony,2,2206
separately+Expansion.Alternative,separately,Expansion.Alternative,1,81
when+Comparison.Contrast.Opposition,when,Comparison.Contrast.Opposition,2,1215
furthermore+Expansion.Restatement.Specification,furthermore,Expansion.Restatement.Specification,2,358
and+Expansion.Instantiation,and,Expansion.Instantiation,2,4477
so+Expansion.Instantiation,so,Expansion.Instantiation,1,1079
once+Contingency.Cause.Reason,once,Contingency.Cause.Reason,7,95
also+Expansion.Restatement.Specification,also,Expansion.Restatement.Specification,1,2206
hence+Expansion.Instantiation,hence,Expansion.Instantiation,1,18
if+Expansion.Restatement.Specification,if,Expansion.Restatement.Specification,2,1234
so+Expansion.Alternative,so,Expansion.Alternative,1,1079
if+Comparison.Contrast.Juxtaposition,if,Comparison.Contrast.Juxtaposition,5,1234
however+Expansion.Restatement.Specification,however,Expansion.Restatement.Specification,4,1201
otherwise+Expansion.Exception,otherwise,Expansion.Exception,2,24
instead+Expansion.Conjunction,instead,Expansion.Conjunction,1,253
and+Contingency.Condition.Hypothetical,and,Contingency.Condition.Hypothetical,2,4477
so+Contingency.Cause.Reason,so,Contingency.Cause.Reason,2,1079
then+Temporal.Synchrony,then,Temporal.Synchrony,6,760
yet+Expansion.Conjunction,yet,Expansion.Conjunction,5,109
because+Expansion.Alternative.Chosen alternative,because,Expansion.Alternative.Chosen alternative,2,2847
because+Contingency.Pragmatic condition.Implicit assertion,because,Contingency.Pragmatic condition.Implicit assertion,2,2847
previously+Temporal.Asynchronous.Precedence,previously,Temporal.Asynchronous.Precedence,2,157
but+Comparison.Pragmatic concession,but,Comparison.Pragmatic concession,8,4102
still+Comparison.Concession,still,Comparison.Concession,1,203
however+Comparison.Concession,however,Comparison.Concession,5,1201
still+Comparison.Contrast.Opposition,still,Comparison.Contrast.Opposition,7,203
when+Expansion.Alternative.Disjunctive,when,Expansion.Alternative.Disjunctive,2,1215
however+Comparison.Pragmatic concession,however,Comparison.Pragmatic concession,1,1201
but+Comparison.Concession.Expectation,but,Comparison.Concession.Expectation,14,4102
when+Contingency.Pragmatic condition.Implicit assertion,when,Contingency.Pragmatic condition.Implicit assertion,12,1215
rather+Contingency.Cause.Result,rather,Contingency.Cause.Result,1,153
once+Contingency.Condition.General,once,Contingency.Condition.General,4,95
but+Expansion.List,but,Expansion.List,1,4102
however+Expansion.List,however,Expansion.List,1,1201
however+Comparison.Pragmatic contrast,however,Comparison.Pragmatic contrast,3,1201
but+Expansion,but,Expansion,6,4102
but+Expansion.Alternative.Chosen alternative,but,Expansion.Alternative.Chosen alternative,2,4102
meantime+Comparison.Contrast.Juxtaposition,meantime,Comparison.Contrast.Juxtaposition,1,18
when+Contingency.Condition.Factual present,when,Contingency.Condition.Factual present,8,1215
then+Contingency.Cause.Reason,then,Contingency.Cause.Reason,2,760
as+Expansion,as,Expansion,2,1370
rather+Expansion.Restatement.Generalization,rather,Expansion.Restatement.Generalization,1,153
when+Comparison.Contrast,when,Comparison.Contrast,1,1215
though+Comparison.Concession,though,Comparison.Concession,6,325
rather+Expansion,rather,Expansion,1,153
particularly+Expansion.Restatement.Specification,particularly,Expansion.Restatement.Specification,4,4
though+Comparison,though,Comparison,13,325
plus+Expansion.Conjunction,plus,Expansion.Conjunction,7,8
And+Expansion.List,And,Expansion.List,1,1
ultimately+Expansion.Restatement.Specification,ultimately,Expansion.Restatement.Specification,3,51
besides+Contingency.Pragmatic cause.Justification,besides,Contingency.Pragmatic cause.Justification,1,37
furthermore+Expansion.List,furthermore,Expansion.List,1,358
and+Contingency.Cause.Reason,and,Contingency.Cause.Reason,1,4477
but+Comparison.Concession,but,Comparison.Concession,2,4102
nor+Comparison.Contrast,nor,Comparison.Contrast,1,33
finally+Comparison.Contrast.Juxtaposition,finally,Comparison.Contrast.Juxtaposition,1,51
when+Contingency,when,Contingency,4,1215
specifically+Expansion.Restatement.Generalization,specifically,Expansion.Restatement.Generalization,1,1177
and+Expansion,and,Expansion,4,4477
or+Expansion.Restatement.Equivalence,or,Expansion.Restatement.Equivalence,2,111
similarly+Comparison,similarly,Comparison,2,86
meanwhile+Temporal.Asynchronous.Precedence,meanwhile,Temporal.Asynchronous.Precedence,1,655
if+Comparison,if,Comparison,1,1234
previously+Comparison.Contrast.Juxtaposition,previously,Comparison.Contrast.Juxtaposition,3,157
simultaneously+Expansion.Conjunction,simultaneously,Expansion.Conjunction,1,10
or+Expansion.Restatement,or,Expansion.Restatement,1,111
or+Expansion,or,Expansion,1,111
or+Comparison.Contrast,or,Comparison.Contrast,1,111
until+Expansion.Alternative.Disjunctive,until,Expansion.Alternative.Disjunctive,3,164
meantime+Temporal.Asynchronous.Succession,meantime,Temporal.Asynchronous.Succession,2,18
thus+Contingency.Pragmatic cause.Justification,thus,Contingency.Pragmatic cause.Justification,1,297
furthermore+Contingency,furthermore,Contingency,1,358
but+Contingency.Cause.Reason,but,Contingency.Cause.Reason,2,4102
still+Expansion.Conjunction,still,Expansion.Conjunction,1,203
instead+Comparison.Contrast.Juxtaposition,instead,Comparison.Contrast.Juxtaposition,2,253
so+Expansion.Restatement.Generalization,so,Expansion.Restatement.Generalization,3,1079
so+Temporal.Asynchronous.Precedence,so,Temporal.Asynchronous.Precedence,5,1079
earlier+Comparison.Contrast.Juxtaposition,earlier,Comparison.Contrast.Juxtaposition,1,41
thereafter+Comparison.Contrast.Opposition,thereafter,Comparison.Contrast.Opposition,1,14
then+Comparison,then,Comparison,1,760
accordingly+Expansion.Restatement.Specification,accordingly,Expansion.Restatement.Specification,2,91
indeed+Contingency.Cause.Result,indeed,Contingency.Cause.Result,2,505
instead+Expansion.Alternative,instead,Expansion.Alternative,5,253
indeed+Contingency,indeed,Contingency,1,505
though+Comparison.Contrast.Opposition,though,Comparison.Contrast.Opposition,3,325
consequently+Expansion.Conjunction,consequently,Expansion.Conjunction,1,204
subsequently+Contingency.Cause.Result,subsequently,Contingency.Cause.Result,2,50
however+Expansion,however,Expansion,1,1201
as+Contingency,as,Contingency,1,1370
if+Comparison.Concession,if,Comparison.Concession,1,1234
although+Expansion,although,Expansion,1,536
nevertheless+Comparison,nevertheless,Comparison,1,72
as+Contingency.Cause.Result,as,Contingency.Cause.Result,3,1370
while+Temporal.Asynchronous.Precedence,while,Temporal.Asynchronous.Precedence,4,1550
when+Contingency.Cause.Result,when,Contingency.Cause.Result,3,1215
further+Expansion.Restatement.Specification,further,Expansion.Restatement.Specification,1,67
if+Comparison.Pragmatic contrast,if,Comparison.Pragmatic contrast,1,1234
because+Expansion.List,because,Expansion.List,1,2847
separately+Comparison.Contrast,separately,Comparison.Contrast,1,81
until+Temporal.Synchrony,until,Temporal.Synchrony,1,164
and+Comparison.Concession.Contra-expectation,and,Comparison.Concession.Contra-expectation,1,4477
rather+Expansion.Alternative,rather,Expansion.Alternative,1,153
still+Comparison.Concession.Expectation,still,Comparison.Concession.Expectation,2,203
although+Comparison.Pragmatic concession,although,Comparison.Pragmatic concession,1,536
except+Expansion.Alternative.Disjunctive,except,Expansion.Alternative.Disjunctive,1,10
also+Contingency.Cause.Result,also,Contingency.Cause.Result,1,2206
whereas+Expansion.Conjunction,whereas,Expansion.Conjunction,2,82
accordingly+Expansion.Conjunction,accordingly,Expansion.Conjunction,1,91
alternatively+Expansion.Alternative,alternatively,Expansion.Alternative,2,6
therefore+Expansion.Restatement.Specification,therefore,Expansion.Restatement.Specification,2,142
next+Expansion.Conjunction,next,Expansion.Conjunction,1,16
because+Comparison.Contrast,because,Comparison.Contrast,1,2847
once+Temporal.Synchrony,once,Temporal.Synchrony,2,95
meantime+Expansion.Conjunction,meantime,Expansion.Conjunction,2,18
ultimately+Contingency.Cause.Result,ultimately,Contingency.Cause.Result,5,51
however+Comparison.Concession.Expectation,however,Comparison.Concession.Expectation,3,1201
eventually+Expansion.Restatement.Specification,eventually,Expansion.Restatement.Specification,1,6
as+Comparison.Concession.Expectation,as,Comparison.Concession.Expectation,2,1370
but+Expansion.Restatement.Specification,but,Expansion.Restatement.Specification,4,4102
incidentally+Expansion.Conjunction,incidentally,Expansion.Conjunction,1,1
so+Expansion.Restatement.Specification,so,Expansion.Restatement.Specification,3,1079
overall+Expansion.Restatement.Generalization,overall,Expansion.Restatement.Generalization,8,43
before+Temporal.Asynchronous.Succession,before,Temporal.Asynchronous.Succession,8,331
also+Temporal.Asynchronous.Succession,also,Temporal.Asynchronous.Succession,1,2206
for+Contingency.Cause.Reason,for,Contingency.Cause.Reason,4,4
as+Comparison.Contrast.Opposition,as,Comparison.Contrast.Opposition,1,1370
then+Comparison.Concession.Contra-expectation,then,Comparison.Concession.Contra-expectation,1,760
separately+Expansion.List,separately,Expansion.List,1,81
moreover+Expansion.List,moreover,Expansion.List,1,191
finally+Expansion,finally,Expansion,1,51
while+Comparison.Concession,while,Comparison.Concession,1,1550
first+Expansion.Conjunction,first,Expansion.Conjunction,4,27
overall+Expansion.Restatement.Specification,overall,Expansion.Restatement.Specification,8,43
eventually+Temporal.Asynchronous.Precedence,eventually,Temporal.Asynchronous.Precedence,4,6
as+Contingency.Cause,as,Contingency.Cause,1,1370
because+Comparison.Contrast.Juxtaposition,because,Comparison.Contrast.Juxtaposition,1,2847
since+Expansion,since,Expansion,1,415
and+Expansion.Restatement.Generalization,and,Expansion.Restatement.Generalization,1,4477
so+Expansion.Exception,so,Expansion.Exception,1,1079
meantime+Temporal.Asynchronous,meantime,Temporal.Asynchronous,1,18
after+Expansion.Conjunction,after,Expansion.Conjunction,1,651
else+Expansion.Alternative,else,Expansion.Alternative,1,1
then+Comparison.Contrast.Opposition,then,Comparison.Contrast.Opposition,1,760
